method,scenario,seed,voting_macro_f1,ranking_macro_f1,voting_gmean,ranking_gmean,agreement
polygarbor,few100,42,0.7114389435645015,0.7114389435645015,0.6734791725847649,0.6734791725847649,1.0
polygarbor,few100,43,0.7067715830891326,0.7067715830891326,0.6877727188193852,0.6877727188193852,1.0
polygarbor_aug,few100,42,0.7131384012947105,0.7131384012947105,0.6669044322071144,0.6669044322071144,1.0
polygarbor_aug,few100,43,0.739269795187671,0.739269795187671,0.7213884460750004,0.7213884460750004,1.0
polygarbor_p3,few100,42,0.4980501484768086,0.5009298719244382,0.39771223483399215,0.3212466027677334,0.874
polygarbor_p3,few100,43,0.5489054174713938,0.5216142960417731,0.0,0.3449998119059342,0.872
polygarbor_p3_aug,few100,42,0.5886673642958347,0.5399907719604949,0.5282878985851301,0.48620958446357043,0.844
polygarbor_p3_aug,few100,43,0.5353135052597147,0.4968412579831455,0.4395946669862425,0.34999197960943856,0.86
polygarbor_p5,few100,42,0.43889672837940263,0.444174617934036,0.0,0.0,0.818
polygarbor_p5,few100,43,0.5452079868029973,0.464842348693549,0.0,0.0,0.764
polygarbor,few10,42,0.5098073496104538,0.5098073496104538,0.3507515240185982,0.3507515240185982,1.0
polygarbor,few10,43,0.49246147521323214,0.49246147521323214,0.0,0.0,1.0
polygarbor_aug,few10,42,0.5538169782575038,0.5538169782575038,0.4745322660630497,0.4745322660630497,1.0
polygarbor_aug,few10,43,0.5319004998955366,0.5319004998955366,0.3436701100716739,0.3436701100716739,1.0
polygarbor_p3,few10,42,0.5353253105389335,0.5002173973360815,0.4289573244437969,0.38295381478084495,0.832
polygarbor_p3,few10,43,0.39275490727889273,0.42569146869309027,0.0,0.0,0.888
polygarbor_p3_aug,few10,42,0.5625739741753856,0.5174014228455689,0.4624344103367708,0.402235670615221,0.844
polygarbor_p3_aug,few10,43,0.4572294224564573,0.45105161215809486,0.2542269983528546,0.0,0.844
polygarbor_p5,few10,42,0.43145930793080856,0.443995445475736,0.0,0.0,0.842
polygarbor_p5,few10,43,0.4923221669480815,0.4518653005554727,0.0,0.0,0.76
polygarbor_aug,few1,42,0.3137582346629481,0.3137582346629481,0.1296267661047854,0.1296267661047854,1.0
polygarbor_aug,few1,43,0.42813389746244335,0.42813389746244335,0.3311848372023092,0.3311848372023092,1.0
polygarbor_p3,few1,42,0.23305222260592318,0.1988617101428937,0.0,0.0,0.946
polygarbor_p3,few1,43,0.2829670801169248,0.22540087777106976,0.0,0.0,0.746
polygarbor_p3_aug,few1,42,0.35579302125402035,0.3240500403841617,0.0,0.0,0.906
polygarbor_p3_aug,few1,43,0.32901672556671957,0.28896099302197054,0.27582540551792967,0.19320211161024173,0.796
polygarbor_p5,few1,42,0.17475693806525425,0.16757094724968088,0.0,0.0,0.94
polygarbor_p5,few1,43,0.23643110435663628,0.21337317708481734,0.0,0.0,0.898
polygarbor,few20,42,0.5446889401894105,0.5446889401894105,0.0,0.0,1.0
polygarbor,few20,43,0.5935290733089535,0.5935290733089535,0.5093590162654879,0.5093590162654879,1.0
polygarbor_aug,few20,42,0.6011408081505517,0.6011408081505517,0.5110188890366274,0.5110188890366274,1.0
polygarbor_aug,few20,43,0.641363560830302,0.641363560830302,0.5866540432095898,0.5866540432095898,1.0
polygarbor_p3,few20,42,0.49057739183253957,0.4355969551586182,0.3508299971716343,0.2835517611954426,0.814
polygarbor_p3,few20,43,0.433097724505225,0.4560262700556059,0.0,0.0,0.854
polygarbor_p3_aug,few20,42,0.5176985700817796,0.44065930483218213,0.363797608119934,0.3156736618403223,0.816
polygarbor_p3_aug,few20,43,0.48840480370875433,0.47237732700046575,0.316190603064654,0.2742540131946895,0.858
polygarbor_p5,few20,42,0.44333028929962504,0.4390883203069874,0.0,0.0,0.784
polygarbor_p5,few20,43,0.5078920786901171,0.49986785608558326,0.0,0.0,0.776
polygarbor,few2,42,0.23326414622582825,0.23326414622582825,0.0,0.0,1.0
polygarbor,few2,43,0.19572835796516197,0.19572835796516197,0.0,0.0,1.0
polygarbor_aug,few2,42,0.44011831623620246,0.44011831623620246,0.0,0.0,1.0
polygarbor_aug,few2,43,0.39219920329034363,0.39219920329034363,0.0,0.0,1.0
polygarbor_p3,few2,42,0.3135382029406664,0.2623514208764329,0.0,0.0,0.87
polygarbor_p3,few2,43,0.2942280915093921,0.24787050322234222,0.0,0.0,0.746
polygarbor_p3_aug,few2,42,0.4254011090201352,0.3850382696653164,0.0,0.0,0.82
