method,mode,median_ms,p95_ms,model_mb,rss_peak_mb,vram_peak_mb,load_seconds,first_prediction_seconds,cold_total_seconds,batch32_images_s
polygarbor,cpu1,19.029585004318506,25.694581551942953,0.650821,280.137728,0.0,0.9850054068956524,0.0764209310291335,1.3775532889412716,52.675350391890476
polygarbor,cpu4,19.47572297649458,21.03030236903578,0.650821,281.616384,0.0,1.0348839620128274,0.08300585893448442,1.4223680919967592,50.48195748316154
polygarbor_aug,cpu1,17.54719455493614,18.12654854147695,0.650628,266.354688,0.0,0.959349760087207,0.16004484903533012,1.26345756102819,54.03250980316365
polygarbor_aug,cpu4,18.10171501711011,19.32794801541604,0.650628,290.357248,0.0,1.0536329619353637,0.10523817595094442,1.475015538977459,53.70975706323725
polygarbor_p3,cpu1,27.561179012991488,30.761119560338553,0.649213,318.111744,0.0,1.192766672000289,0.08538781304378062,1.5043109259568155,35.84609100999769
polygarbor_p3,cpu4,31.132863485254347,34.925404289970174,0.649213,319.561728,0.0,1.154564984026365,0.09049177705310285,1.55634458293207,29.264913481119596
polygarbor_p3_aug,cpu1,26.13303397083655,27.20875445520505,0.648779,307.716096,0.0,1.0923142359824851,0.08419912296812981,1.387751988018863,36.54339670801557
polygarbor_p3_aug,cpu4,32.54985040985048,34.61653619306162,0.648779,299.70432,0.0,1.167922399006784,0.10808262205682695,1.5209380640881136,27.540743935811506
polygarbor_p5,cpu1,34.11772247636691,36.55537947779521,0.647763,301.539328,0.0,1.2359840399585664,0.09119474398903549,1.4900151300244033,28.574652526752768
polygarbor_p5,cpu4,42.99406096106395,46.63261251989752,0.647763,299.057152,0.0,1.1724171999376267,0.10620309901423752,1.5366664689499885,24.37465898863515
resnet18,cpu1,20.19344549626112,21.965652669314295,45.008671,939.347968,0.0,2.6811578350607306,0.2565245140576735,3.635266692028381,92.75855620645882
resnet18,cpu4,8.195418457034975,13.76018047449179,45.008671,946.110464,0.0,2.7461794500704855,0.2597848610021174,3.776938993949443,263.00144345721367
resnet18,gpu,2.47847696300596,3.029788209823891,45.008671,1644.93312,4324.327424,3.4819134740391746,0.7445605840766802,4.848768252064474,277.0435170201655
resnet18_imagenet,cpu1,20.727178954984993,21.870454726740718,45.011688,945.872896,0.0,2.6935423989780247,0.2638077449519187,3.995336012914777,91.56035890839094
resnet18_imagenet,cpu4,9.549412003252655,13.01135409157723,45.011688,950.767616,0.0,2.794300645007752,0.2635866269702092,3.840446265996434,233.5878556354288
resnet18_imagenet,gpu,3.0801179818809032,4.424954543355852,45.011688,1607.012352,2430.599168,3.4278836420271546,0.7329159899381921,5.071499402052723,226.70100635443748
yolo11n,cpu1,3.319493494927883,3.7552139430772513,3.204008,824.99584,0.0,2.4236498679965734,0.04967505007516593,3.2179888599785045,480.39913174673035
yolo11n,cpu4,2.8806434711441398,3.1125756213441487,3.204008,835.997696,0.0,2.3037807809887454,0.052746903034858406,3.214702417026274,814.1773217342834
yolo11n,gpu,2.4858139804564416,3.21741122752428,3.204008,1521.061888,251.65824,2.2868687759619206,0.6444990029558539,3.8036115110153332,1638.2338637231821
yolo11n_random,cpu1,3.599880961701274,3.994968283222988,3.203754,853.286912,0.0,2.460081164026633,0.04103978897910565,3.300159696955234,450.39596865713895
yolo11n_random,cpu4,2.888093004003167,3.6555630387738347,3.203754,818.003968,0.0,2.4360754280351102,0.04389786999672651,3.2626799170393497,888.220370934674
yolo11n_random,gpu,2.654793963301927,3.847337304614484,3.203754,1528.79104,251.65824,2.4142475749831647,0.5726015439722687,3.8944343640469015,1623.8501492866526
