index,selection,true_class,polygarbor,resnet18,resnet18_imagenet,yolo11n,yolo11n_random
1,all correct,tumor,tumor,tumor,tumor,tumor,tumor
3,all correct,lympho,lympho,lympho,lympho,lympho,lympho
11,all wrong,complex,stroma,stroma,debris,stroma,stroma
85,all wrong,debris,adipose,adipose,adipose,empty,adipose
7,only polygarbor wrong,tumor,lympho,tumor,tumor,tumor,tumor
16,only polygarbor wrong,mucosa,debris,mucosa,mucosa,mucosa,mucosa
33,only resnet18 wrong,stroma,stroma,complex,stroma,stroma,stroma
41,only resnet18 wrong,debris,debris,adipose,debris,debris,debris
13,only resnet18_imagenet correct,complex,debris,tumor,complex,stroma,mucosa
50,only resnet18_imagenet correct,complex,stroma,stroma,complex,stroma,stroma
292,only resnet18_imagenet wrong,complex,complex,complex,stroma,complex,complex
126,only yolo11n correct,complex,stroma,stroma,stroma,complex,stroma
372,only yolo11n correct,debris,stroma,stroma,stroma,debris,stroma
297,only yolo11n wrong,debris,debris,debris,debris,stroma,debris
24,only yolo11n_random correct,complex,lympho,lympho,lympho,lympho,complex
290,only yolo11n_random correct,stroma,debris,debris,debris,debris,stroma
55,only yolo11n_random wrong,debris,debris,debris,debris,debris,stroma
56,only yolo11n_random wrong,debris,debris,debris,debris,debris,stroma
