family,scenario,seeds,macro_f1_random,macro_f1_imagenet,macro_f1_delta_imagenet_minus_random,gmean_random,gmean_imagenet,gmean_delta_imagenet_minus_random
ResNet-18,few1,2,0.04137621603274739,0.2841747360521194,0.24279852001937202,0.0,0.0,0.0
ResNet-18,few2,2,0.07214602438189126,0.35167283935732563,0.27952681497543436,0.0,0.0,0.0
ResNet-18,few5,2,0.1401866595746213,0.47399844466136165,0.33381178508674036,0.0,0.2899464188943234,0.2899464188943234
ResNet-18,few10,2,0.16668955980208028,0.5537076091613389,0.38701804935925865,0.0,0.3776042571214061,0.3776042571214061
ResNet-18,few20,2,0.20914001958386616,0.5643625527379637,0.35522253315409746,0.0,0.423754473648485,0.423754473648485
ResNet-18,few50,2,0.5678506040633475,0.8973205597231435,0.329469955659796,0.42415770891831106,0.8926461333184386,0.4684884244001275
ResNet-18,few100,2,0.8683743033779611,0.8711054125282977,0.002731109150336586,0.8611993698974674,0.861123673524171,-7.569637329635226e-05
ResNet-18,full,2,0.9077672214639863,0.9560918802538134,0.04832465878982717,0.900615929792332,0.9555776551560178,0.05496172536368582
ResNet-18,imbalance,1,0.7246696712204068,0.9044112848218548,0.17974161360144802,0.6546458931578893,0.8972995411605721,0.24265364800268274
ResNet-18,label_noise,1,0.8830836999383164,0.8880762048344395,0.004992504896123129,0.8772341725357697,0.8819859910831124,0.004751818547342634
ResNet-18,source_a,1,0.5406566402514303,0.48406966255079664,-0.0565869777006337,0.40630382254168373,0.0,-0.40630382254168373
ResNet-18,source_b,1,0.3443663410737261,0.6084039317214653,0.26403759064773924,0.0,0.4618522378080728,0.4618522378080728
YOLO11n,few1,2,0.0289523553398544,0.5392103925036786,0.5102580371638242,0.0,0.40326599411396635,0.40326599411396635
YOLO11n,few2,2,0.0289523553398544,0.6622784004287838,0.6333260450889295,0.0,0.6106332079502985,0.6106332079502985
YOLO11n,few5,2,0.1770470491307144,0.7567297455343833,0.579682696403669,0.0,0.7432365010862562,0.7432365010862562
YOLO11n,few10,2,0.27776708000285477,0.8341790664276082,0.5564119864247534,0.21105905000398953,0.828076044149472,0.6170169941454825
YOLO11n,few20,2,0.7100486689061891,0.8429857253741901,0.13293705646800102,0.6873723980866195,0.8347020545352666,0.14732965644864693
YOLO11n,few50,2,0.7594217762848994,0.8877604354265793,0.12833865914167986,0.7419943956183295,0.8821023822343814,0.140107986616052
YOLO11n,few100,2,0.7488612671994854,0.9153910956970427,0.16652982849755726,0.7238469282352223,0.913393396900085,0.1895464686648627
YOLO11n,full,2,0.861819969747796,0.9509964753062488,0.08917650555845275,0.853153596757737,0.9503815242292202,0.09722792747148318
YOLO11n,imbalance,1,0.7124298904934119,0.9045693027523238,0.19213941225891196,0.0,0.8986880866349679,0.8986880866349679
YOLO11n,label_noise,1,0.8580898195353257,0.9368937319734516,0.0788039124381259,0.8528247301822981,0.934716219456567,0.08189148927426892
YOLO11n,source_a,1,0.5637423544136891,0.8295073035245494,0.26576494911086024,0.4466764939176304,0.810194058404884,0.3635175644872536
YOLO11n,source_b,1,0.5063328673228502,0.819058000261136,0.31272513293828574,0.0,0.8281557879584645,0.8281557879584645
