run,method,scenario,seed,status,error,path,n_train,originals_retained,fitted_vectors_or_images,train_seconds,training_cpu_core_percent,epochs,model_mb,batch1_median_ms,batch1_p95_ms,rss_peak_mb,vram_peak_mb,fit_cpu_core_percent,fit_gpu_global_percent,evaluation,n,accuracy,macro_f1,balanced_accuracy,mcc,kappa,top2_accuracy,nll,brier,ece,auroc_macro,multiclass_gmean,score_argmax_agreement,examples_per_class
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,800,800,800,4.3671662498964,107.85025644745568,0,0.186852,18.85767752537504,19.834440905833617,522.932224,0.0,,,test_clean,500,0.724,0.7114389435645015,0.7284424518063085,0.6930323338031699,0.6842322037388737,0.866,0.8324139278107581,0.41084177751340395,0.10926373994694592,0.9626187382696088,0.6734791725847649,1.0,100
few100__polygarbor__seed43,polygarbor,few100,43,complete,,runs/2026-09-12/few100__polygarbor__seed43,800,800,800,4.815293913939968,110.6889858700004,0,0.186627,22.78974646469578,29.09184678574092,524.26752,0.0,333.6,44.0,test_clean,500,0.708,0.7067715830891326,0.7128360168516173,0.672923730989071,0.6661162921528181,0.882,0.848231936274983,0.42751764687260235,0.08564017687650795,0.9581147795908256,0.6877727188193852,1.0,100
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42,800,800,2800,15.208366474020295,106.71757566945084,0,0.651063,18.453533470164984,20.318897714605555,528.11776,0.0,349.0,23.0,test_clean,500,0.73,0.7131384012947105,0.7363201547865614,0.7013521059195207,0.6914469082980211,0.88,0.9864107262400365,0.49115777726348975,0.26575177281730167,0.9623727976675596,0.6669044322071144,1.0,100
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43,800,799,2800,15.744328953907825,107.34023691626012,0,0.650249,18.667091033421457,20.952961931470778,547.422208,0.0,306.29999999999995,34.0,test_clean,500,0.74,0.739269795187671,0.7468862302125475,0.7080773654532002,0.702950840649121,0.888,0.9406808421512687,0.47766688710426936,0.2449345946123972,0.9620298437915434,0.7213884460750004,1.0,100
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42,800,789,2800,5.398733928101137,125.39977131973922,0,0.649411,30.158082023262978,32.698219595476985,555.450368,0.0,293.3,35.0,test_clean,500,0.56,0.4980501484768086,0.5597416784012267,0.520498050501687,0.49652142072500915,0.85,1.1690016939504762,0.5844860143619548,0.1642955832990264,0.9537842197729205,0.39771223483399215,0.874,100
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,800,788,2800,5.508710731053725,129.61290488081656,0,0.648581,32.01905998867005,34.51533365878276,582.725632,0.0,322.43333333333334,33.333333333333336,test_clean,500,0.62,0.5489054174713938,0.6202850388740159,0.5835017875799146,0.5657837603126357,0.826,1.1571675086040367,0.5782505944208306,0.19386599652608552,0.9476829880108988,0.0,0.872,100
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,800,771,2800,20.04668906191364,106.85056237389091,0,0.649039,30.04987398162484,35.374772537034005,565.972992,0.0,298.7,27.5,test_clean,500,0.622,0.5886673642958347,0.6241315598397563,0.5844877827269912,0.5675096795452673,0.848,1.2150719364753728,0.6097346398582972,0.26620987553585956,0.9434332184403527,0.5282878985851301,0.844,100
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43,800,787,2800,21.3203274308471,106.98709986506859,0,0.648357,30.76127398526296,33.04778126766905,571.846656,0.0,322.43333333333334,39.0,test_clean,500,0.584,0.5353135052597147,0.5883290467441226,0.54275103126576,0.5247886680374686,0.828,1.1731908695476536,0.5863346761086348,0.1922856288320022,0.9459917385089509,0.4395946669862425,0.86,100
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42,800,779,2800,7.476999333128333,121.97406464371375,0,0.648292,37.8378015011549,51.80951646761969,557.969408,0.0,341.3333333333333,68.0,test_clean,500,0.532,0.43889672837940263,0.5321889958591088,0.4876886682397078,0.46471707781275173,0.784,1.3446322548436038,0.6504285430783842,0.17888228187143732,0.931662062667447,0.0,0.818,100
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43,800,781,2800,7.481701731914654,121.49642321645668,0,0.647415,39.984270464628935,50.71717266691847,561.025024,0.0,330.2,37.0,test_clean,500,0.61,0.5452079868029973,0.6103526635392533,0.5699376116171585,0.5543488694173626,0.764,1.2939825122156525,0.6411380573552483,0.2452487165954728,0.9227589231493546,0.0,0.764,100
few100__resnet18__seed42,resnet18,few100,42,complete,,runs/2026-09-12/few100__resnet18__seed42,800,800,800,65.39845558907837,79.00798196926988,44,45.011183,3.7828494678251445,5.118037050124258,2704.986112,4095.737856,77.22467105263159,71.48026315789474,test_clean,500,0.858,0.8563042852636711,0.8574718815529158,0.838631089827308,0.8375516517107413,0.966,0.3973421428441236,0.21388219944664508,0.04211122106973507,0.9886119584504323,0.8496201465799968,1.0,100
few100__resnet18__seed43,resnet18,few100,43,complete,,runs/2026-09-12/few100__resnet18__seed43,800,800,800,98.83911464491393,75.63807129250425,67,45.011183,3.679697518236935,5.138515925500542,2702.45888,3886.022656,74.18715203426125,81.82655246252676,test_clean,500,0.878,0.880444321492251,0.8786444211276985,0.8606703222979913,0.8604259525356714,0.98,0.3834683145512434,0.18304900071788643,0.051872251625814034,0.9864785767669247,0.8727785932149379,1.0,100
few100__yolo11n__seed42,yolo11n,few100,42,complete,,runs/2026-09-12/few100__yolo11n__seed42,800,800,800,72.54056330898311,328.9194198612638,21,3.203496,4.823129449505359,7.42632560431957,2824.6016,710.934528,350.8353658536585,39.2469512195122,test_clean,500,0.912,0.9144792083489894,0.9143168570260585,0.8996893335086649,0.8993600212258864,0.982,0.24498171626860601,0.12594477106637805,0.02803648514535438,0.9944582940961912,0.911909171442669,1.0,100
few100__yolo11n__seed43,yolo11n,few100,43,complete,,runs/2026-09-12/few100__yolo11n__seed43,800,800,800,53.32010871905368,320.62950377839024,15,3.203048,3.1192025053314865,4.367885354440658,2818.445312,631.242752,350.137339055794,32.892703862660944,test_clean,500,0.914,0.9163029830450959,0.917543726370171,0.9022729865011937,0.9016954112332425,0.974,0.2750006603153026,0.1352270907377164,0.02974319302081405,0.9929345907572894,0.914877622357501,1.0,100
few10__polygarbor__seed42,polygarbor,few10,42,complete,,runs/2026-09-12/few10__polygarbor__seed42,80,80,80,0.573548638029024,99.38128385393459,0,0.0197,6.103559513576329,8.660900761606172,392.040448,0.0,,,test_clean,500,0.546,0.5098073496104538,0.5588321833833001,0.4952948562400751,0.48145813059945275,0.746,1.3039148261002527,0.5755924064771282,0.10581982913353799,0.8858691357648463,0.3507515240185982,1.0,10
few10__polygarbor__seed43,polygarbor,few10,43,complete,,runs/2026-09-12/few10__polygarbor__seed43,80,80,80,0.5435710590099916,99.34303731760565,0,0.019653,6.826993951108307,7.29321381659247,392.06912,0.0,,,test_clean,500,0.53,0.49246147521323214,0.5370324132965089,0.4894797625746816,0.46208007910856363,0.712,1.4331485489423001,0.6296213345668821,0.14154205755812818,0.9016939281581167,0.0,1.0,10
few10__polygarbor_aug__seed42,polygarbor_aug,few10,42,complete,,runs/2026-09-12/few10__polygarbor_aug__seed42,80,80,320,1.5140353271272033,103.69639148242247,0,0.07544,7.672845444176346,8.010924031259492,395.505664,0.0,,,test_clean,500,0.574,0.5538169782575038,0.5832790986086547,0.5234544858889739,0.5131317287252279,0.772,1.0397999060469505,0.5105762177531702,0.06730202718560442,0.9112894002284905,0.4745322660630497,1.0,10
few10__polygarbor_aug__seed43,polygarbor_aug,few10,43,complete,,runs/2026-09-12/few10__polygarbor_aug__seed43,80,80,320,1.5349029171047732,102.93810653381853,0,0.075225,7.936238485854119,8.05415403447114,395.603968,0.0,,,test_clean,500,0.574,0.5319004998955366,0.5852683652117596,0.545160424512062,0.5129914670617609,0.754,1.1615058405420313,0.5497484662642574,0.08599363442089661,0.9181456562810666,0.3436701100716739,1.0,10
few10__polygarbor_p3__seed42,polygarbor_p3,few10,42,complete,,runs/2026-09-12/few10__polygarbor_p3__seed42,80,80,720,0.6334148989990354,151.55942834894725,0,0.167885,21.155873546376824,21.631574304774404,399.388672,0.0,209.1,34.0,test_clean,500,0.574,0.5353253105389335,0.5767924938453273,0.5367966267556397,0.5120252555567264,0.806,1.2211418927346567,0.5998086351952697,0.11932479346503037,0.9162722334894091,0.4289573244437969,0.832,10
few10__polygarbor_p3__seed43,polygarbor_p3,few10,43,complete,,runs/2026-09-12/few10__polygarbor_p3__seed43,80,80,720,0.6088772179791704,149.45541943911766,0,0.16758,20.697266969364136,20.943113713292405,399.048704,0.0,229.0,35.0,test_clean,500,0.496,0.39275490727889273,0.49316045941450865,0.45053876355124695,0.4227703358926903,0.766,1.4195369944640617,0.6541119627246832,0.1180764128972861,0.9176311237644037,0.0,0.888,10
few10__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few10,42,complete,,runs/2026-09-12/few10__polygarbor_p3_aug__seed42,80,80,2800,2.4623465901240706,149.04481825261973,0,0.649625,24.99563299352303,25.82429558970034,420.999168,0.0,358.70000000000005,38.0,test_clean,500,0.596,0.5625739741753856,0.5993280838887483,0.5582003940237699,0.5374737825485651,0.806,1.1870312377436125,0.5859193287751171,0.15648703900150074,0.9255144811130875,0.4624344103367708,0.844,10
few10__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few10,43,complete,,runs/2026-09-12/few10__polygarbor_p3_aug__seed43,80,80,2800,2.4031766270054504,146.47279606685424,0,0.648141,22.79233594890684,23.162558540934697,420.130816,0.0,375.15,16.0,test_clean,500,0.548,0.4572294224564573,0.5478053318497887,0.5040196607814018,0.4832773931573122,0.8,1.2428421470913722,0.6027218597044903,0.13311503638867112,0.9285425109107734,0.2542269983528546,0.844,10
few10__polygarbor_p5__seed42,polygarbor_p5,few10,42,complete,,runs/2026-09-12/few10__polygarbor_p5__seed42,80,80,2000,1.0876768940361217,198.58838703327893,0,0.463519,39.23826897516847,41.47618976421654,424.538112,0.0,302.0,34.0,test_clean,500,0.504,0.43145930793080856,0.5041899930981752,0.4591587603303727,0.43227082513025716,0.768,1.3586841633964288,0.6344892301788084,0.13394725855291068,0.91526701478641,0.0,0.842,10
few10__polygarbor_p5__seed43,polygarbor_p5,few10,43,complete,,runs/2026-09-12/few10__polygarbor_p5__seed43,80,80,2000,1.0702790978830308,194.34183140772876,0,0.462532,33.400869520846754,35.16566398902796,420.327424,0.0,301.15,35.0,test_clean,500,0.552,0.4923221669480815,0.5528253311103134,0.5070616776925861,0.4877634930870939,0.758,1.4020491741271124,0.6502057296482854,0.1725468028344904,0.913850776784352,0.0,0.76,10
few10__resnet18__seed42,resnet18,few10,42,complete,,runs/2026-09-12/few10__resnet18__seed42,80,80,80,32.74335956608411,112.38920039872083,15,45.011183,3.806927998084575,5.771070625633001,2414.862336,4099.93216,113.70935251798561,70.82014388489209,test_clean,500,0.136,0.05811703096539162,0.14285714285714285,0.09640113030573182,0.020257091796467508,0.168,16.913063304030512,1.6871884733937172,0.8445022384615986,0.5887092816546725,0.0,1.0,10
few10__resnet18__seed43,resnet18,few10,43,complete,,runs/2026-09-12/few10__resnet18__seed43,80,80,80,38.23024793993682,109.67755183245428,33,45.011183,3.9511744980700314,5.365843081381172,2423.35744,4120.90368,110.42874251497005,71.91616766467065,test_clean,500,0.346,0.27526208863876894,0.3533030295079673,0.32572542994549547,0.2486696627974303,0.472,4.464963666103729,1.1244975419303622,0.4351527801662265,0.7580270542378575,0.0,1.0,10
few10__yolo11n__seed42,yolo11n,few10,42,complete,,runs/2026-09-12/few10__yolo11n__seed42,80,80,80,31.533055773121305,301.9688313276803,21,3.203496,4.306533490307629,7.305772241670638,2667.606016,710.934528,327.56449275362314,57.8768115942029,test_clean,500,0.818,0.8190675520593553,0.8259827551609293,0.7942800180258296,0.7921605708047269,0.938,0.5935514764934099,0.2709278694673214,0.08640587819764525,0.9755262930162529,0.81522887819878,1.0,10
few10__yolo11n__seed43,yolo11n,few10,43,complete,,runs/2026-09-12/few10__yolo11n__seed43,80,80,80,40.21046431490686,313.3761376470489,29,3.204072,4.492198000662029,7.281322992639615,2611.544064,811.597824,334.17237569060774,61.91160220994475,test_clean,500,0.846,0.8492905807958611,0.8528212620713618,0.8261292183033195,0.824094084535357,0.95,0.5543933030009259,0.24565556675763958,0.08431296680547234,0.9781838154140421,0.840923210100164,1.0,10
few1__polygarbor_aug__seed42,polygarbor_aug,few1,42,complete,,runs/2026-09-12/few1__polygarbor_aug__seed42,8,8,32,0.22703838488087058,96.8999141336547,0,0.008548,4.6717909863218665,4.861845803679898,377.131008,0.0,,,test_clean,500,0.334,0.3137582346629481,0.35368059585914274,0.2636917044501068,0.2413196026610771,0.482,3.675690212802722,0.9771277800941726,0.4093485437233775,0.7281208609568568,0.1296267661047854,1.0,1
few1__polygarbor_aug__seed43,polygarbor_aug,few1,43,complete,,runs/2026-09-12/few1__polygarbor_aug__seed43,8,8,32,0.2175492059905082,96.52988575336938,0,0.008495,4.7897344920784235,4.873704491183162,380.321792,0.0,,,test_clean,500,0.424,0.42813389746244335,0.43363630210350085,0.35798981910838756,0.3428348461822811,0.632,2.76031527497387,0.8571614211964383,0.29878355515966604,0.802887288126428,0.3311848372023092,1.0,1
few1__polygarbor_p3__seed42,polygarbor_p3,few1,42,complete,,runs/2026-09-12/few1__polygarbor_p3__seed42,8,8,72,0.12133545707911253,98.8993678259752,0,0.017811,6.882047513499856,10.653139324858778,380.239872,0.0,,,test_clean,500,0.34,0.23305222260592318,0.34658065604182475,0.285324413689395,0.24539692121943868,0.468,4.447013136979813,1.127132361155293,0.4867533330974042,0.7569681300733584,0.0,0.946,1
few1__polygarbor_p3__seed43,polygarbor_p3,few1,43,complete,,runs/2026-09-12/few1__polygarbor_p3__seed43,8,8,72,0.12011411495041102,99.90499455417174,0,0.017705,6.6042745020240545,6.66500580846332,380.342272,0.0,,,test_clean,500,0.34,0.2829670801169248,0.34596568555368623,0.2611487529061621,0.24760601915184688,0.546,2.797313137133138,0.9948987145159237,0.2960931814845108,0.7990835767540043,0.0,0.746,1
few1__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few1,42,complete,,runs/2026-09-12/few1__polygarbor_p3_aug__seed42,8,8,288,0.2761854550335556,112.24341990143388,0,0.067883,9.455975494347513,9.709822171134874,381.087744,0.0,,,test_clean,500,0.424,0.35579302125402035,0.4391463896565039,0.401061269847846,0.34354485776805255,0.492,4.054406540454559,0.9930263625634285,0.37291832917995354,0.7710536380429809,0.0,0.906,1
few1__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few1,43,complete,,runs/2026-09-12/few1__polygarbor_p3_aug__seed43,8,8,288,0.2811854981118813,120.91661991213968,0,0.067445,9.534507407806814,10.140364646213127,381.321216,0.0,,,test_clean,500,0.356,0.32901672556671957,0.35949014867801127,0.27406107999258955,0.26496772249564005,0.578,2.093894739102192,0.893680571298079,0.2667732599211682,0.806676791599256,0.27582540551792967,0.796,1
few1__polygarbor_p5__seed42,polygarbor_p5,few1,42,complete,,runs/2026-09-12/few1__polygarbor_p5__seed42,8,8,200,0.16372669802512974,97.7238299739252,0,0.047356,11.920230463147163,12.289273279020563,377.15968,0.0,,,test_clean,500,0.3,0.17475693806525425,0.3042372881355932,0.23720524056795705,0.19919461858783694,0.524,4.308496477551029,1.1048501904739216,0.4677385322808574,0.7479445344362825,0.0,0.94,1
few1__polygarbor_p5__seed43,polygarbor_p5,few1,43,complete,,runs/2026-09-12/few1__polygarbor_p5__seed43,8,8,200,0.15328853798564523,104.37831954205429,0,0.047127,11.981841525994241,12.347680004313588,377.56928,0.0,,,test_clean,500,0.324,0.23643110435663628,0.33713264967003753,0.29894022216161287,0.23209741912031978,0.496,3.0346340365725544,1.0334855236502294,0.38295819053781155,0.8162295788263749,0.0,0.898,1
few1__resnet18__seed42,resnet18,few1,42,complete,,runs/2026-09-12/few1__resnet18__seed42,8,8,8,23.224903225083835,114.14471674253578,9,45.011183,4.712145542725921,6.422050739638506,2366.799872,4349.493248,116.15104166666667,47.729166666666664,test_clean,500,0.126,0.02797513321492007,0.125,0.0,0.0,0.26,3.423508855643272,1.3799938271914438,0.6304424100662464,0.4131889326233187,0.0,1.0,1
few1__resnet18__seed43,resnet18,few1,43,complete,,runs/2026-09-12/few1__resnet18__seed43,8,8,8,21.91755643405486,114.56569109585966,12,45.011183,3.0538560240529478,4.349259735317899,2358.919168,3995.07456,116.89545454545454,49.03409090909091,test_clean,500,0.152,0.05477729885057471,0.14382606490872213,0.037305988058727826,0.023230526810479102,0.252,2.41730819488704,0.9220943532513928,0.1268349229565129,0.4309837004480147,0.0,1.0,1
few1__yolo11n__seed42,yolo11n,few1,42,complete,,runs/2026-09-12/few1__yolo11n__seed42,8,8,8,47.68331575207412,320.80403299836826,42,3.205032,3.9532509981654584,5.58932246058248,2595.196928,947.912704,337.3840182648402,39.602739726027394,test_clean,500,0.592,0.551097526141523,0.5992306836200465,0.559646457047608,0.5332961190369427,0.688,2.096028105837144,0.6444917480803894,0.26255779097311693,0.8795234468315918,0.35463215651851077,1.0,1
few1__yolo11n__seed43,yolo11n,few1,43,complete,,runs/2026-09-12/few1__yolo11n__seed43,8,8,8,31.393163394997828,312.169878412493,30,3.204136,3.0616549775004387,4.618403542554005,2613.424128,792.723456,333.80567375886517,32.177304964539005,test_clean,500,0.514,0.5273232588658343,0.5199078941740939,0.4468865226190147,0.44290587631134914,0.686,1.6632631032704652,0.7069368005976286,0.24997780105907758,0.847888743433736,0.4518998317094219,1.0,1
few20__polygarbor__seed42,polygarbor,few20,42,complete,,runs/2026-09-12/few20__polygarbor__seed42,160,160,160,1.1075044040335342,100.22533508285629,0,0.038254,9.31442657019943,10.163798002758995,401.424384,0.0,,,test_clean,500,0.566,0.5446889401894105,0.5704171392589065,0.5207599968883537,0.5028887432935797,0.752,1.2328319560375216,0.5561007955295303,0.04967170206262651,0.9185979944831448,0.0,1.0,20
few20__polygarbor__seed43,polygarbor,few20,43,complete,,runs/2026-09-12/few20__polygarbor__seed43,160,160,160,1.0696919551119208,100.96364610753766,0,0.038163,8.2479955162853,11.07026015524752,401.1008,0.0,,,test_clean,500,0.612,0.5935290733089535,0.6169249864226566,0.568622072157674,0.5553314385257174,0.808,1.0917892341383804,0.5127941288946045,0.07808819008624787,0.9160342354486286,0.5093590162654879,1.0,20
