model_seed,metric,polygarbor_minus_resnet,ci95_low,ci95_high
42,weak_region_AUROC,-0.1731713011052322,-0.19677668669353315,-0.14960607099015283
42,weak_region_Dice,-0.2806524571358269,-0.3244986396770428,-0.2339733248780845
42,patch_AUROC,-0.13095238095238096,-0.16785714285714284,-0.09523809523809519
42,patch_Dice,-0.32801587301587304,-0.4392083333333333,-0.21650396825396834
42,patch_recall_at_2,-0.31666666666666665,-0.45,-0.2
43,weak_region_AUROC,-0.1784145481798942,-0.2072921234301,-0.1494036579566432
43,weak_region_Dice,-0.3120517769895088,-0.35583776465231953,-0.2663071857373462
43,patch_AUROC,-0.1523809523809524,-0.19642857142857142,-0.1106845238095242
43,patch_Dice,-0.3315873015873016,-0.4804920634920635,-0.1911111111111111
43,patch_recall_at_2,-0.4,-0.5333333333333333,-0.26666666666666666
