method,seed,fold,test_source,n,classes_present,accuracy,macro_f1_present,balanced_accuracy
polygarbor,42,loso_01,01,401,6,0.5810473815461347,0.5297252690222242,0.5771070750237417
polygarbor,43,loso_01,01,401,6,0.6059850374064838,0.5365398157850988,0.5735217306295737
resnet18,42,loso_01,01,401,6,0.9451371571072319,0.8986570876663755,0.9221677559912854
resnet18,43,loso_01,01,401,6,0.8778054862842892,0.7950194958580985,0.8622947042064689
resnet18_imagenet,42,loso_01,01,401,6,0.9201995012468828,0.7410142089756184,0.7452904167364952
resnet18_imagenet,43,loso_01,01,401,6,0.9102244389027432,0.7656092294477049,0.8836328976034858
yolo11n,42,loso_01,01,401,6,0.9451371571072319,0.8326213332725271,0.9413894475168986
yolo11n,43,loso_01,01,401,6,0.9177057356608479,0.7481656656166233,0.7801938439193341
yolo11n_random,42,loso_01,01,401,6,0.7306733167082294,0.5387986630884919,0.6220413664041115
yolo11n_random,43,loso_01,01,401,6,0.8553615960099751,0.6199765988366234,0.6780124015418133
polygarbor,42,loso_02,02,284,6,0.7676056338028169,0.5931757726818935,0.8349288044436607
polygarbor,43,loso_02,02,284,6,0.6901408450704225,0.5394000317148794,0.7236177971747096
resnet18,42,loso_02,02,284,6,0.647887323943662,0.377056267366501,0.547609915946629
resnet18,43,loso_02,02,284,6,0.7570422535211268,0.47232142857142856,0.5692705578087345
resnet18_imagenet,42,loso_02,02,284,6,0.7570422535211268,0.459976726915911,0.5974911097396108
resnet18_imagenet,43,loso_02,02,284,6,0.7429577464788732,0.42851269974853357,0.5452484864515371
yolo11n,42,loso_02,02,284,6,0.8204225352112676,0.65893071598994,0.7216075207194498
yolo11n,43,loso_02,02,284,6,0.7887323943661971,0.6429066631288374,0.7398208722741432
yolo11n_random,42,loso_02,02,284,6,0.75,0.41792192613638757,0.5431490624816316
yolo11n_random,43,loso_02,02,284,6,0.7605633802816901,0.4505325764930188,0.5133321332706362
polygarbor,42,loso_03,03,740,7,0.6243243243243243,0.5779378719096455,0.666616436784504
polygarbor,43,loso_03,03,740,7,0.6081081081081081,0.5702599577153065,0.6578534759207028
resnet18,42,loso_03,03,740,7,0.7067567567567568,0.721691036805792,0.7382160461992395
resnet18,43,loso_03,03,740,7,0.7851351351351351,0.790941056028551,0.7969882906857697
resnet18_imagenet,42,loso_03,03,740,7,0.7486486486486487,0.7757253686748236,0.8207492938585376
resnet18_imagenet,43,loso_03,03,740,7,0.7378378378378379,0.6870277458570838,0.6985784599229977
yolo11n,42,loso_03,03,740,7,0.7810810810810811,0.7784322395148447,0.8165586249619862
yolo11n,43,loso_03,03,740,7,0.7567567567567568,0.7069428429246035,0.8275655792462515
yolo11n_random,42,loso_03,03,740,7,0.7216216216216216,0.6908338161144767,0.7289802558710122
yolo11n_random,43,loso_03,03,740,7,0.7054054054054054,0.708830680970676,0.6944273570323991
polygarbor,42,loso_04,04,381,6,0.7769028871391076,0.5882487753544247,0.5696112636315107
polygarbor,43,loso_04,04,381,6,0.7979002624671916,0.6160512230229543,0.600224967589415
resnet18,42,loso_04,04,381,6,0.7270341207349081,0.7285406282987973,0.73044062054014
resnet18,43,loso_04,04,381,6,0.7217847769028871,0.709677857440576,0.7051372138880718
resnet18_imagenet,42,loso_04,04,381,6,0.847769028871391,0.7839034672529152,0.7951950626967785
resnet18_imagenet,43,loso_04,04,381,6,0.8608923884514436,0.7647805394175012,0.7590245775729647
yolo11n,42,loso_04,04,381,6,0.8320209973753281,0.7640538182098284,0.7845567648244381
yolo11n,43,loso_04,04,381,6,0.8188976377952756,0.770755952869774,0.8079468575350525
yolo11n_random,42,loso_04,04,381,6,0.6745406824146981,0.6917060118184142,0.717161813249665
yolo11n_random,43,loso_04,04,381,6,0.6955380577427821,0.7288532927556006,0.7270089115490626
polygarbor,42,loso_05,05,661,7,0.6354009077155824,0.5467502071363144,0.6394298442647498
polygarbor,43,loso_05,05,661,7,0.6308623298033282,0.5498223496614896,0.6473374867987579
resnet18,42,loso_05,05,661,7,0.7791225416036308,0.6925871463226263,0.7387747736742275
resnet18,43,loso_05,05,661,7,0.762481089258699,0.7196063269554195,0.7644621249139619
resnet18_imagenet,42,loso_05,05,661,7,0.7745839636913767,0.6966707847699937,0.7257953584170068
resnet18_imagenet,43,loso_05,05,661,7,0.794251134644478,0.7356419897754429,0.7041242387940502
yolo11n,42,loso_05,05,661,7,0.7443267776096822,0.709903607654298,0.7678568473069465
yolo11n,43,loso_05,05,661,7,0.8456883509833586,0.7770570458290921,0.8292356612180346
yolo11n_random,42,loso_05,05,661,7,0.7776096822995462,0.713676209493716,0.7658538379491705
yolo11n_random,43,loso_05,05,661,7,0.7397881996974282,0.6626683612447559,0.6810476794712148
polygarbor,42,loso_06,06,1061,8,0.31479736098020733,0.4632885483833392,0.6471999207057191
polygarbor,43,loso_06,06,1061,8,0.3100848256361923,0.4644839302866296,0.6632797270955166
resnet18,42,loso_06,06,1061,8,0.8011310084825636,0.809884876806372,0.8880207456927915
resnet18,43,loso_06,06,1061,8,0.40245051837888784,0.6561743356141376,0.7782646822158755
resnet18_imagenet,42,loso_06,06,1061,8,0.9095193213949104,0.8546148740819599,0.9099582658140994
resnet18_imagenet,43,loso_06,06,1061,8,0.8963242224316682,0.8737485898834073,0.9173577351494182
yolo11n,42,loso_06,06,1061,8,0.823751178133836,0.813783761713112,0.8902234334385212
yolo11n,43,loso_06,06,1061,8,0.8284637134778511,0.7614870977863333,0.8542067940292636
yolo11n_random,42,loso_06,06,1061,8,0.8737040527803959,0.7804352616312483,0.8648706910627202
yolo11n_random,43,loso_06,06,1061,8,0.9019792648444863,0.8311420325018712,0.8988553112761539
polygarbor,42,loso_07,07,503,7,0.6063618290258449,0.5224923757260144,0.6251793506654926
polygarbor,43,loso_07,07,503,7,0.5984095427435387,0.5174035499696181,0.6181042045113954
resnet18,42,loso_07,07,503,7,0.7713717693836978,0.7106985120963516,0.7577006594261811
resnet18,43,loso_07,07,503,7,0.7534791252485089,0.7163135522377724,0.7392170044728822
resnet18_imagenet,42,loso_07,07,503,7,0.7932405566600398,0.723986273861814,0.7732420751753203
resnet18_imagenet,43,loso_07,07,503,7,0.7932405566600398,0.7553518916882206,0.7760402360421323
yolo11n,42,loso_07,07,503,7,0.7614314115308151,0.6707063711411464,0.7486806367082072
yolo11n,43,loso_07,07,503,7,0.7554671968190855,0.6755097898881457,0.7410951631565872
yolo11n_random,42,loso_07,07,503,7,0.7972166998011928,0.7487757820748068,0.779608462383932
yolo11n_random,43,loso_07,07,503,7,0.8170974155069582,0.7704837581868863,0.800945466914454
polygarbor,42,loso_08,08,389,6,0.7326478149100257,0.6904672560539163,0.8062958728720758
polygarbor,43,loso_08,08,389,6,0.6786632390745502,0.6337303898189158,0.7771346503745162
resnet18,42,loso_08,08,389,6,0.4704370179948586,0.6019490202239487,0.7690422639391007
resnet18,43,loso_08,08,389,6,0.4781491002570694,0.6075675969363165,0.7604268196455095
resnet18_imagenet,42,loso_08,08,389,6,0.493573264781491,0.6224972641066774,0.7908089093631677
resnet18_imagenet,43,loso_08,08,389,6,0.4730077120822622,0.6204609612911409,0.7708999754645965
yolo11n,42,loso_08,08,389,6,0.5038560411311054,0.5912831855214152,0.7631639747996108
yolo11n,43,loso_08,08,389,6,0.46786632390745503,0.5905878599546546,0.7596091923836646
yolo11n_random,42,loso_08,08,389,6,0.455012853470437,0.5881276753125494,0.7324441960117722
yolo11n_random,43,loso_08,08,389,6,0.43444730077120824,0.5276311695170867,0.7379279992322144
polygarbor,42,loso_09,09,342,6,0.6432748538011696,0.6529174450081424,0.7227842466132689
polygarbor,43,loso_09,09,342,6,0.6286549707602339,0.6463001936170225,0.7182668084271001
resnet18,42,loso_09,09,342,6,0.7719298245614035,0.7881111891471111,0.7999255430145272
resnet18,43,loso_09,09,342,6,0.7543859649122807,0.7573933200510156,0.7496410690633201
resnet18_imagenet,42,loso_09,09,342,6,0.7280701754385965,0.7202185865290591,0.7227860760143793
resnet18_imagenet,43,loso_09,09,342,6,0.7660818713450293,0.7744674335805922,0.7843893716833894
yolo11n,42,loso_09,09,342,6,0.7923976608187134,0.7732249988211591,0.7767146723578362
yolo11n,43,loso_09,09,342,6,0.7485380116959064,0.7506435347304183,0.7544632451228876
yolo11n_random,42,loso_09,09,342,6,0.6345029239766082,0.6074728215182409,0.622783195144126
yolo11n_random,43,loso_09,09,342,6,0.7631578947368421,0.7217866926547877,0.7377773779201923
polygarbor,42,loso_10,10,238,7,0.8151260504201681,0.8201853635578372,0.8190682958133844
polygarbor,43,loso_10,10,238,7,0.8487394957983193,0.8548339767118674,0.8499267606568115
resnet18,42,loso_10,10,238,7,0.8949579831932774,0.8863821143137477,0.8661993417511245
resnet18,43,loso_10,10,238,7,0.9369747899159664,0.9252620208997252,0.9085956551151797
resnet18_imagenet,42,loso_10,10,238,7,0.9327731092436975,0.9198554083203595,0.9064975527163254
resnet18_imagenet,43,loso_10,10,238,7,0.957983193277311,0.9485528910895652,0.9350506815702061
yolo11n,42,loso_10,10,238,7,0.9285714285714286,0.9207405880028982,0.9070044779916232
yolo11n,43,loso_10,10,238,7,0.9411764705882353,0.9229041673680662,0.9090913387687581
yolo11n_random,42,loso_10,10,238,7,0.8823529411764706,0.8747422293659843,0.8547785727266689
yolo11n_random,43,loso_10,10,238,7,0.7436974789915967,0.7513620135238072,0.7691440563281455
