method,seed,n,accuracy,macro_f1,balanced_accuracy,multiclass_gmean,macro_f1_without_empty,random_split_macro_f1
polygarbor,42,5000,0.5934,0.5597745263282426,0.5933999999999999,0.4799670029792643,0.6686469909588606,0.7802214916655392
polygarbor,43,5000,0.5842,0.5479932562983594,0.5842,0.4583207816456846,0.6590097221456231,0.805394756854946
resnet18,42,5000,0.7552,0.7526687513634343,0.7552,0.7289678271279404,0.7580351666959039,0.9052183436240924
resnet18,43,5000,0.68,0.6475115094616111,0.6799999999999999,0.5383906705391586,0.7699260632385112,0.9103160993038801
resnet18_imagenet,42,5000,0.8,0.8000847905239445,0.8,0.7794232114191751,0.785728830782321,0.9702941131933871
resnet18_imagenet,43,5000,0.7998,0.7988060395567314,0.7998000000000001,0.779812274791507,0.7893004030095755,0.9418896473142397
yolo11n,42,5000,0.7888,0.7905592591444022,0.7888,0.7739176037626817,0.794868741777193,0.9624340166603458
yolo11n,43,5000,0.7888,0.7880144587125513,0.7888,0.7703073304060397,0.7838582096371655,0.9395589339521517
yolo11n_random,42,5000,0.7486,0.7461600967135449,0.7485999999999999,0.7165346643247917,0.7261271626334178,0.8640402292700274
yolo11n_random,43,5000,0.762,0.760339302205639,0.762,0.7279929356217697,0.7398715424291674,0.8595997102255646
