method,seed,variant,evaluation,n,tflite_bytes,conversion_seconds,evaluation_seconds,accuracy,macro_f1,multiclass_gmean,balanced_accuracy,original_macro_f1,delta_macro_f1_vs_original,agreement_with_original,agreement_with_fp32,max_raw_row_sum_error,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
resnet18,42,fp32,test_clean,500,44715460,5.755471287993714,2.2388925219420344,0.906,0.9052183436240924,0.8976439302040289,0.9062096158586956,0.9052183436240924,0.0,1.0,1.0,2.384185791015625e-07,0.9701492537313432,0.6379310344827587,0.8676470588235294,0.9523809523809524,0.8382352941176471,0.9833333333333332,1.0,1.0
resnet18,42,fp32,test_blur,500,44715460,5.755471287993714,2.2366266679018736,0.76,0.7604397180953391,0.730108223647374,0.771323544586998,0.7604397180953391,0.0,1.0,1.0,2.384185791015625e-07,0.9552238805970148,0.8275862068965517,0.3823529411764705,0.6190476190476191,0.4705882352941176,0.9333333333333332,0.9824561403508772,1.0
resnet18,42,fp32,test_noise,500,44715460,5.755471287993714,2.2369416339788586,0.894,0.8908638582357886,0.8764636601848448,0.892934207908588,0.8908638582357886,0.0,1.0,1.0,2.384185791015625e-07,0.9552238805970148,0.5172413793103449,0.8823529411764706,0.9523809523809524,0.8529411764705882,0.9833333333333332,1.0,1.0
resnet18,42,fp32,test_brightness,500,44715460,5.755471287993714,2.2430232210317627,0.746,0.7367178727855985,0.6797490751597839,0.7467774091018065,0.7367178727855985,0.0,1.0,1.0,2.384185791015625e-07,0.6865671641791045,0.2241379310344827,0.9411764705882352,0.9206349206349206,0.4411764705882353,0.8833333333333333,0.8771929824561403,1.0
resnet18,42,fp32,test_color,500,44715460,5.755471287993714,2.189854696043767,0.358,0.2692934989963009,0.0,0.3461638759981604,0.2692934989963009,0.0,1.0,1.0,1.1920928955078125e-07,0.417910447761194,0.0,0.8382352941176471,0.9523809523809524,0.0441176470588235,0.5166666666666667,0.0,0.0
resnet18,42,fp32,test_jpeg,500,44715460,5.755471287993714,2.2473836470162496,0.84,0.8403697107166419,0.8225450994732811,0.8391335153893432,0.8403697107166419,0.0,1.0,1.0,2.384185791015625e-07,0.9850746268656716,0.5344827586206896,0.75,0.6984126984126984,0.9117647058823528,0.8333333333333334,1.0,1.0
resnet18,42,fp32,test_resolution,500,44715460,5.755471287993714,2.3874090251047164,0.66,0.6397911698634045,0.5694289714945996,0.6744420046146873,0.6403010105199036,-0.0005098406564991,0.998,1.0,2.384185791015625e-07,0.9552238805970148,0.7931034482758621,0.1911764705882352,0.2539682539682539,0.3529411764705882,0.8666666666666667,0.9824561403508772,1.0
resnet18,42,fp32,test_occlusion,500,44715460,5.755471287993714,2.250045906053856,0.892,0.891947168216289,0.8850669868579906,0.8928769264610974,0.891947168216289,0.0,1.0,1.0,1.788139343261719e-07,0.9701492537313432,0.6551724137931034,0.8529411764705882,0.9206349206349206,0.7941176470588235,0.95,1.0,1.0
resnet18,42,fp32,test_rotation,500,44715460,5.755471287993714,2.260611644014716,0.89,0.8879021174545176,0.8785325740547743,0.8901514896439022,0.8879021174545176,0.0,1.0,1.0,1.788139343261719e-07,0.9701492537313432,0.5862068965517241,0.8529411764705882,0.9206349206349206,0.8088235294117647,1.0,0.9824561403508772,1.0
resnet18,42,fp16_weights,test_clean,500,22375776,0.1374665849143639,2.2473458680324256,0.906,0.9052183436240924,0.8976439302040289,0.9062096158586956,0.9052183436240924,0.0,1.0,1.0,1.788139343261719e-07,0.9701492537313432,0.6379310344827587,0.8676470588235294,0.9523809523809524,0.8382352941176471,0.9833333333333332,1.0,1.0
resnet18,42,fp16_weights,test_blur,500,22375776,0.1374665849143639,2.22788472508546,0.76,0.7604397180953391,0.730108223647374,0.771323544586998,0.7604397180953391,0.0,1.0,1.0,2.384185791015625e-07,0.9552238805970148,0.8275862068965517,0.3823529411764705,0.6190476190476191,0.4705882352941176,0.9333333333333332,0.9824561403508772,1.0
resnet18,42,fp16_weights,test_noise,500,22375776,0.1374665849143639,2.216752244043164,0.894,0.8908638582357886,0.8764636601848448,0.892934207908588,0.8908638582357886,0.0,1.0,1.0,1.788139343261719e-07,0.9552238805970148,0.5172413793103449,0.8823529411764706,0.9523809523809524,0.8529411764705882,0.9833333333333332,1.0,1.0
resnet18,42,fp16_weights,test_brightness,500,22375776,0.1374665849143639,2.239929793053306,0.746,0.7367178727855985,0.6797490751597839,0.7467774091018065,0.7367178727855985,0.0,1.0,1.0,1.1920928955078125e-07,0.6865671641791045,0.2241379310344827,0.9411764705882352,0.9206349206349206,0.4411764705882353,0.8833333333333333,0.8771929824561403,1.0
resnet18,42,fp16_weights,test_color,500,22375776,0.1374665849143639,2.2398791409796104,0.358,0.2692934989963009,0.0,0.3461638759981604,0.2692934989963009,0.0,1.0,1.0,1.1920928955078125e-07,0.417910447761194,0.0,0.8382352941176471,0.9523809523809524,0.0441176470588235,0.5166666666666667,0.0,0.0
resnet18,42,fp16_weights,test_jpeg,500,22375776,0.1374665849143639,2.23185910389293,0.84,0.8403697107166419,0.8225450994732811,0.8391335153893432,0.8403697107166419,0.0,1.0,1.0,1.788139343261719e-07,0.9850746268656716,0.5344827586206896,0.75,0.6984126984126984,0.9117647058823528,0.8333333333333334,1.0,1.0
resnet18,42,fp16_weights,test_resolution,500,22375776,0.1374665849143639,2.2560839250218123,0.66,0.6397911698634045,0.5694289714945996,0.6744420046146873,0.6403010105199036,-0.0005098406564991,0.998,1.0,2.384185791015625e-07,0.9552238805970148,0.7931034482758621,0.1911764705882352,0.2539682539682539,0.3529411764705882,0.8666666666666667,0.9824561403508772,1.0
resnet18,42,fp16_weights,test_occlusion,500,22375776,0.1374665849143639,2.239886182011105,0.892,0.891947168216289,0.8850669868579906,0.8928769264610974,0.891947168216289,0.0,1.0,1.0,1.788139343261719e-07,0.9701492537313432,0.6551724137931034,0.8529411764705882,0.9206349206349206,0.7941176470588235,0.95,1.0,1.0
resnet18,42,fp16_weights,test_rotation,500,22375776,0.1374665849143639,2.336873859050684,0.89,0.8879021174545176,0.8785325740547743,0.8901514896439022,0.8879021174545176,0.0,1.0,1.0,2.384185791015625e-07,0.9701492537313432,0.5862068965517241,0.8529411764705882,0.9206349206349206,0.8088235294117647,1.0,0.9824561403508772,1.0
resnet18,42,int8_dynamic,test_clean,500,11260656,0.0429744200082495,0.6698590799933299,0.906,0.905375443549982,0.8976439302040289,0.9062096158586956,0.9052183436240924,0.0001570999258895,0.998,0.998,2.384185791015625e-07,0.9701492537313432,0.6379310344827587,0.8676470588235294,0.9523809523809524,0.8382352941176471,0.9833333333333332,1.0,1.0
