method,variant,mode,model_mb,median_ms,p95_ms,rss_peak_mb,invoke_median_ms,agreement_with_evaluation
polygarbor,original,cpu1,0.650821,19.029585004318506,25.694581551942957,280.137728,,
polygarbor,original,cpu4,0.650821,19.47572297649458,21.03030236903578,281.616384,,
resnet18,original,cpu1,45.008671,20.19344549626112,21.96565266931429,939.347968,,
resnet18,original,cpu4,45.008671,8.195418457034975,13.76018047449179,946.110464,,
resnet18,fp32,cpu1,44.71546,12.217779003549367,12.81572402222082,199.716864,12.075153004843742,1.0
resnet18,fp32,cpu4,44.71546,4.456507042050362,5.316115164896473,199.53664,4.299346532206982,1.0
resnet18,fp16_weights,cpu1,22.375776,12.101656990125775,13.08632173459045,182.800384,11.968398990575224,1.0
resnet18,fp16_weights,cpu4,22.375776,4.470623040106148,5.211512208916247,183.17312,4.320496518630534,1.0
resnet18,int8_dynamic,cpu1,11.260656,3.960977483075112,4.285774804884567,131.940352,3.8754500565119088,1.0
resnet18,int8_dynamic,cpu4,11.260656,1.4702709740959108,1.6116556769702584,131.530752,1.3906840467825532,1.0
resnet18,int8_static,cpu1,11.32024,4.387054534163326,5.177118600113317,129.867776,4.297360486816615,1.0
resnet18,int8_static,cpu4,11.32024,1.3967560371384025,1.8534155387897044,129.753088,1.3239349937066436,1.0
resnet18_imagenet,original,cpu1,45.011688,20.727178954984996,21.87045472674072,945.872896,,
resnet18_imagenet,original,cpu4,45.011688,9.549412003252655,13.01135409157723,950.767616,,
resnet18_imagenet,fp32,cpu1,44.715468,12.324719515163451,13.525454921182243,199.553024,12.069614487700164,1.0
resnet18_imagenet,fp32,cpu4,44.715468,4.790074483025819,5.814846092835069,199.68,4.481613985262811,1.0
resnet18_imagenet,fp16_weights,cpu1,22.375776,12.241106538567692,12.79580783448182,183.177216,11.977386951912194,1.0
resnet18_imagenet,fp16_weights,cpu4,22.375776,4.6897639986127615,5.340220348443836,183.095296,4.384721512906253,1.0
resnet18_imagenet,int8_dynamic,cpu1,11.260672,4.261105903424323,5.0064557348378,132.202496,4.068298498168588,1.0
resnet18_imagenet,int8_dynamic,cpu4,11.260672,1.512956921942532,2.158014388987794,131.915776,1.2721309904009104,1.0
resnet18_imagenet,int8_static,cpu1,11.320192,4.469124018214643,4.873556748498231,129.826816,4.262272967025638,1.0
resnet18_imagenet,int8_static,cpu4,11.320192,1.520464546047151,1.916379918111488,129.540096,1.303002005442977,1.0
yolo11n_random,original,cpu1,3.203754,3.599880961701274,3.994968283222988,853.286912,,
yolo11n_random,original,cpu4,3.203754,2.888093004003167,3.6555630387738343,818.003968,,
yolo11n_random,fp32,cpu1,6.2667,1.5178745379671454,1.612734206719324,118.525952,1.3084984966553748,1.0
yolo11n_random,fp32,cpu4,6.2667,0.7909685373306274,1.1027737695258109,118.509568,0.5799804930575192,1.0
yolo11n_random,fp16_weights,cpu1,3.2268,1.5188775141723454,1.6172865347471088,115.990528,1.3108000275678933,1.0
yolo11n_random,fp16_weights,cpu4,3.2268,0.9024100145325064,1.0180560173466802,115.990528,0.6829369813203812,1.0
yolo11n_random,int8_dynamic,cpu1,1.734464,1.0623775306157768,1.0985863453242928,109.092864,0.8497185190208256,1.0
yolo11n_random,int8_dynamic,cpu4,1.734464,0.8994074887596071,1.104957755887881,109.027328,0.6773595232516527,1.0
yolo11n_random,int8_static,cpu1,1.805136,0.8220300078392029,0.8634619589429349,108.900352,0.6157074822112918,1.0
yolo11n_random,int8_static,cpu4,1.805136,0.5962305003777146,0.7058496470563114,108.105728,0.3773664939217269,1.0
yolo11n,original,cpu1,3.204008,3.319493494927883,3.7552139430772513,824.99584,,
yolo11n,original,cpu4,3.204008,2.88064347114414,3.1125756213441487,835.997696,,
yolo11n,fp32,cpu1,6.2667,1.5470869839191437,1.7002764390781522,118.792192,1.332571031525731,1.0
yolo11n,fp32,cpu4,6.2667,0.7906680111773312,0.985021679662168,118.14912,0.5622559692710638,1.0
yolo11n,fp16_weights,cpu1,3.2268,1.5158134629018605,1.7651643371209502,116.146176,1.3023004867136478,1.0
yolo11n,fp16_weights,cpu4,3.2268,0.7746695191599429,1.0800834454130377,115.273728,0.5621345480903983,1.0
yolo11n,int8_dynamic,cpu1,1.734464,1.0574639891274271,1.1405200406443328,109.309952,0.8451600442640483,1.0
yolo11n,int8_dynamic,cpu4,1.734464,0.7916495087556541,0.9911092522088436,109.027328,0.5698000313714147,1.0
yolo11n,int8_static,cpu1,1.805136,0.8311705314554274,0.8701270970050246,108.879872,0.6212570006027818,1.0
yolo11n,int8_static,cpu4,1.805136,0.5937489913776517,0.6568775454070419,108.552192,0.3686790005303919,1.0
