method,variant,seeds,size_mb,macro_f1,delta_macro_f1,agreement_with_original,multiclass_gmean,perturbed_macro_f1,perturbed_delta_macro_f1,perturbed_agreement
polygarbor,original,2,0.6507645,0.7928081242602426,0.0,1.0,0.7773605776698995,0.45700181474698814,0.0,1.0
resnet18,original,2,45.008671,0.9077672214639863,0.0,1.0,0.9006159297923318,0.7416817908700045,0.0,1.0
resnet18,fp32,2,44.71546,0.9077672214639863,0.0,1.0,0.9006159297923318,0.7420502516300592,0.000368460760054625,0.9995
resnet18,fp16_weights,2,22.375776,0.9077672214639863,0.0,1.0,0.9006159297923318,0.7420502516300592,0.000368460760054625,0.9995
resnet18,int8_dynamic,2,11.260656,0.9088352962844988,0.00106807482051235,0.998,0.901582357185345,0.7412312957865465,-0.00045049508345811637,0.995
resnet18,int8_static,2,11.32024,0.9108923149720586,0.0031250935080723,0.994,0.9034431112602695,0.7412099377100831,-0.00047185315992135605,0.983
resnet18_imagenet,original,2,45.011688,0.9560918802538134,0.0,1.0,0.9555776551560178,0.7799397392093141,0.0,1.0
resnet18_imagenet,fp32,2,44.715468,0.9560918802538134,0.0,1.0,0.9555776551560178,0.7801578386908321,0.00021809948151805625,0.99875
resnet18_imagenet,fp16_weights,2,22.375776,0.9560918802538134,0.0,1.0,0.9555776551560178,0.7800400357868822,0.00010029657756811786,0.998625
resnet18_imagenet,int8_dynamic,2,11.260672,0.9571693314604114,0.0010774512065979,0.992,0.9566663543247358,0.7807530873292869,0.0008133481199728068,0.9924999999999999
resnet18_imagenet,int8_static,2,11.320192,0.8747505806777851,-0.08134129957602826,0.883,0.8513509484525796,0.7364717054402952,-0.04346803376901891,0.85
yolo11n_random,original,2,3.203818,0.861819969747796,0.0,1.0,0.853153596757737,0.7997870124078514,0.0,1.0
yolo11n_random,fp32,2,6.2667,0.861819969747796,0.0,1.0,0.853153596757737,0.7997870124078514,0.0,1.0
yolo11n_random,fp16_weights,2,3.2268,0.861819969747796,0.0,1.0,0.853153596757737,0.7997870124078514,0.0,1.0
yolo11n_random,int8_dynamic,2,1.734464,0.858138586916453,-0.00368138283134305,0.996,0.8493596011619617,0.800202126700363,0.00041511429251143376,0.99425
yolo11n_random,int8_static,2,1.805136,0.8551111211453447,-0.00670884860245125,0.991,0.8461887142546529,0.7969091459206046,-0.002877866487246925,0.980625
yolo11n,original,2,3.2037519999999997,0.9509964753062488,0.0,1.0,0.9503815242292202,0.8348377021985072,0.0,1.0
yolo11n,fp32,2,6.2667,0.9509964753062488,0.0,1.0,0.9503815242292202,0.8352086064203149,0.00037090422180773746,0.99925
yolo11n,fp16_weights,2,3.2268,0.9519455859076014,0.00094911060135265,0.999,0.9513153278326232,0.8356421760571691,0.000804473858661825,0.998625
yolo11n,int8_dynamic,2,1.734464,0.948020556120813,-0.00297591918543575,0.993,0.9472848735166025,0.8269623687456275,-0.007875333452879694,0.973125
yolo11n,int8_static,2,1.805136,0.9499559756857849,-0.00104049962046365,0.99,0.9491207344321297,0.8207581259148378,-0.014079576283669319,0.961625
