run,method,scenario,seed,status,error,path
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42
few100__polygarbor__seed43,polygarbor,few100,43,complete,,runs/2026-09-12/few100__polygarbor__seed43
few100__polygarbor_aug__seed42,polygarbor_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_aug__seed42
few100__polygarbor_aug__seed43,polygarbor_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_aug__seed43
few100__polygarbor_p3__seed42,polygarbor_p3,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3__seed42
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42
few100__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed43
few100__polygarbor_p5__seed42,polygarbor_p5,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p5__seed42
few100__polygarbor_p5__seed43,polygarbor_p5,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p5__seed43
few100__resnet18__seed42,resnet18,few100,42,complete,,runs/2026-09-12/few100__resnet18__seed42
few100__resnet18__seed43,resnet18,few100,43,complete,,runs/2026-09-12/few100__resnet18__seed43
few100__resnet18_imagenet__seed42,resnet18_imagenet,few100,42,complete,,runs/2026-09-12/few100__resnet18_imagenet__seed42
few100__resnet18_imagenet__seed43,resnet18_imagenet,few100,43,complete,,runs/2026-09-12/few100__resnet18_imagenet__seed43
few100__yolo11n__seed42,yolo11n,few100,42,complete,,runs/2026-09-12/few100__yolo11n__seed42
few100__yolo11n__seed43,yolo11n,few100,43,complete,,runs/2026-09-12/few100__yolo11n__seed43
few100__yolo11n_random__seed42,yolo11n_random,few100,42,complete,,runs/2026-09-12/few100__yolo11n_random__seed42
few100__yolo11n_random__seed43,yolo11n_random,few100,43,complete,,runs/2026-09-12/few100__yolo11n_random__seed43
few10__polygarbor__seed42,polygarbor,few10,42,complete,,runs/2026-09-12/few10__polygarbor__seed42
few10__polygarbor__seed43,polygarbor,few10,43,complete,,runs/2026-09-12/few10__polygarbor__seed43
few10__polygarbor_aug__seed42,polygarbor_aug,few10,42,complete,,runs/2026-09-12/few10__polygarbor_aug__seed42
few10__polygarbor_aug__seed43,polygarbor_aug,few10,43,complete,,runs/2026-09-12/few10__polygarbor_aug__seed43
few10__polygarbor_p3__seed42,polygarbor_p3,few10,42,complete,,runs/2026-09-12/few10__polygarbor_p3__seed42
few10__polygarbor_p3__seed43,polygarbor_p3,few10,43,complete,,runs/2026-09-12/few10__polygarbor_p3__seed43
few10__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few10,42,complete,,runs/2026-09-12/few10__polygarbor_p3_aug__seed42
few10__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few10,43,complete,,runs/2026-09-12/few10__polygarbor_p3_aug__seed43
few10__polygarbor_p5__seed42,polygarbor_p5,few10,42,complete,,runs/2026-09-12/few10__polygarbor_p5__seed42
few10__polygarbor_p5__seed43,polygarbor_p5,few10,43,complete,,runs/2026-09-12/few10__polygarbor_p5__seed43
few10__resnet18__seed42,resnet18,few10,42,complete,,runs/2026-09-12/few10__resnet18__seed42
few10__resnet18__seed43,resnet18,few10,43,complete,,runs/2026-09-12/few10__resnet18__seed43
few10__resnet18_imagenet__seed42,resnet18_imagenet,few10,42,complete,,runs/2026-09-12/few10__resnet18_imagenet__seed42
few10__resnet18_imagenet__seed43,resnet18_imagenet,few10,43,complete,,runs/2026-09-12/few10__resnet18_imagenet__seed43
few10__yolo11n__seed42,yolo11n,few10,42,complete,,runs/2026-09-12/few10__yolo11n__seed42
few10__yolo11n__seed43,yolo11n,few10,43,complete,,runs/2026-09-12/few10__yolo11n__seed43
few10__yolo11n_random__seed42,yolo11n_random,few10,42,complete,,runs/2026-09-12/few10__yolo11n_random__seed42
few10__yolo11n_random__seed43,yolo11n_random,few10,43,complete,,runs/2026-09-12/few10__yolo11n_random__seed43
few1__polygarbor__seed42,polygarbor,few1,42,failed,IndexError('tuple index out of range'),runs/2026-09-12/few1__polygarbor__seed42
few1__polygarbor__seed43,polygarbor,few1,43,failed,IndexError('tuple index out of range'),runs/2026-09-12/few1__polygarbor__seed43
few1__polygarbor_aug__seed42,polygarbor_aug,few1,42,complete,,runs/2026-09-12/few1__polygarbor_aug__seed42
few1__polygarbor_aug__seed43,polygarbor_aug,few1,43,complete,,runs/2026-09-12/few1__polygarbor_aug__seed43
few1__polygarbor_p3__seed42,polygarbor_p3,few1,42,complete,,runs/2026-09-12/few1__polygarbor_p3__seed42
few1__polygarbor_p3__seed43,polygarbor_p3,few1,43,complete,,runs/2026-09-12/few1__polygarbor_p3__seed43
few1__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few1,42,complete,,runs/2026-09-12/few1__polygarbor_p3_aug__seed42
few1__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few1,43,complete,,runs/2026-09-12/few1__polygarbor_p3_aug__seed43
few1__polygarbor_p5__seed42,polygarbor_p5,few1,42,complete,,runs/2026-09-12/few1__polygarbor_p5__seed42
few1__polygarbor_p5__seed43,polygarbor_p5,few1,43,complete,,runs/2026-09-12/few1__polygarbor_p5__seed43
few1__resnet18__seed42,resnet18,few1,42,complete,,runs/2026-09-12/few1__resnet18__seed42
few1__resnet18__seed43,resnet18,few1,43,complete,,runs/2026-09-12/few1__resnet18__seed43
few1__resnet18_imagenet__seed42,resnet18_imagenet,few1,42,complete,,runs/2026-09-12/few1__resnet18_imagenet__seed42
few1__resnet18_imagenet__seed43,resnet18_imagenet,few1,43,complete,,runs/2026-09-12/few1__resnet18_imagenet__seed43
few1__yolo11n__seed42,yolo11n,few1,42,complete,,runs/2026-09-12/few1__yolo11n__seed42
few1__yolo11n__seed43,yolo11n,few1,43,complete,,runs/2026-09-12/few1__yolo11n__seed43
few1__yolo11n_random__seed42,yolo11n_random,few1,42,complete,,runs/2026-09-12/few1__yolo11n_random__seed42
few1__yolo11n_random__seed43,yolo11n_random,few1,43,complete,,runs/2026-09-12/few1__yolo11n_random__seed43
few20__polygarbor__seed42,polygarbor,few20,42,complete,,runs/2026-09-12/few20__polygarbor__seed42
few20__polygarbor__seed43,polygarbor,few20,43,complete,,runs/2026-09-12/few20__polygarbor__seed43
few20__polygarbor_aug__seed42,polygarbor_aug,few20,42,complete,,runs/2026-09-12/few20__polygarbor_aug__seed42
few20__polygarbor_aug__seed43,polygarbor_aug,few20,43,complete,,runs/2026-09-12/few20__polygarbor_aug__seed43
few20__polygarbor_p3__seed42,polygarbor_p3,few20,42,complete,,runs/2026-09-12/few20__polygarbor_p3__seed42
few20__polygarbor_p3__seed43,polygarbor_p3,few20,43,complete,,runs/2026-09-12/few20__polygarbor_p3__seed43
few20__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few20,42,complete,,runs/2026-09-12/few20__polygarbor_p3_aug__seed42
few20__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few20,43,complete,,runs/2026-09-12/few20__polygarbor_p3_aug__seed43
few20__polygarbor_p5__seed42,polygarbor_p5,few20,42,complete,,runs/2026-09-12/few20__polygarbor_p5__seed42
few20__polygarbor_p5__seed43,polygarbor_p5,few20,43,complete,,runs/2026-09-12/few20__polygarbor_p5__seed43
few20__resnet18__seed42,resnet18,few20,42,complete,,runs/2026-09-12/few20__resnet18__seed42
few20__resnet18__seed43,resnet18,few20,43,complete,,runs/2026-09-12/few20__resnet18__seed43
few20__resnet18_imagenet__seed42,resnet18_imagenet,few20,42,complete,,runs/2026-09-12/few20__resnet18_imagenet__seed42
few20__resnet18_imagenet__seed43,resnet18_imagenet,few20,43,complete,,runs/2026-09-12/few20__resnet18_imagenet__seed43
few20__yolo11n__seed42,yolo11n,few20,42,complete,,runs/2026-09-12/few20__yolo11n__seed42
few20__yolo11n__seed43,yolo11n,few20,43,complete,,runs/2026-09-12/few20__yolo11n__seed43
few20__yolo11n_random__seed42,yolo11n_random,few20,42,complete,,runs/2026-09-12/few20__yolo11n_random__seed42
few20__yolo11n_random__seed43,yolo11n_random,few20,43,complete,,runs/2026-09-12/few20__yolo11n_random__seed43
few2__polygarbor__seed42,polygarbor,few2,42,complete,,runs/2026-09-12/few2__polygarbor__seed42
few2__polygarbor__seed43,polygarbor,few2,43,complete,,runs/2026-09-12/few2__polygarbor__seed43
few2__polygarbor_aug__seed42,polygarbor_aug,few2,42,complete,,runs/2026-09-12/few2__polygarbor_aug__seed42
few2__polygarbor_aug__seed43,polygarbor_aug,few2,43,complete,,runs/2026-09-12/few2__polygarbor_aug__seed43
few2__polygarbor_p3__seed42,polygarbor_p3,few2,42,complete,,runs/2026-09-12/few2__polygarbor_p3__seed42
few2__polygarbor_p3__seed43,polygarbor_p3,few2,43,complete,,runs/2026-09-12/few2__polygarbor_p3__seed43
few2__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few2,42,complete,,runs/2026-09-12/few2__polygarbor_p3_aug__seed42
few2__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few2,43,complete,,runs/2026-09-12/few2__polygarbor_p3_aug__seed43
few2__polygarbor_p5__seed42,polygarbor_p5,few2,42,complete,,runs/2026-09-12/few2__polygarbor_p5__seed42
few2__polygarbor_p5__seed43,polygarbor_p5,few2,43,complete,,runs/2026-09-12/few2__polygarbor_p5__seed43
few2__resnet18__seed42,resnet18,few2,42,complete,,runs/2026-09-12/few2__resnet18__seed42
few2__resnet18__seed43,resnet18,few2,43,complete,,runs/2026-09-12/few2__resnet18__seed43
few2__resnet18_imagenet__seed42,resnet18_imagenet,few2,42,complete,,runs/2026-09-12/few2__resnet18_imagenet__seed42
few2__resnet18_imagenet__seed43,resnet18_imagenet,few2,43,complete,,runs/2026-09-12/few2__resnet18_imagenet__seed43
few2__yolo11n__seed42,yolo11n,few2,42,complete,,runs/2026-09-12/few2__yolo11n__seed42
few2__yolo11n__seed43,yolo11n,few2,43,complete,,runs/2026-09-12/few2__yolo11n__seed43
few2__yolo11n_random__seed42,yolo11n_random,few2,42,complete,,runs/2026-09-12/few2__yolo11n_random__seed42
few2__yolo11n_random__seed43,yolo11n_random,few2,43,complete,,runs/2026-09-12/few2__yolo11n_random__seed43
few50__polygarbor__seed42,polygarbor,few50,42,complete,,runs/2026-09-12/few50__polygarbor__seed42
few50__polygarbor__seed43,polygarbor,few50,43,complete,,runs/2026-09-12/few50__polygarbor__seed43
few50__polygarbor_aug__seed42,polygarbor_aug,few50,42,complete,,runs/2026-09-12/few50__polygarbor_aug__seed42
few50__polygarbor_aug__seed43,polygarbor_aug,few50,43,complete,,runs/2026-09-12/few50__polygarbor_aug__seed43
few50__polygarbor_p3__seed42,polygarbor_p3,few50,42,complete,,runs/2026-09-12/few50__polygarbor_p3__seed42
few50__polygarbor_p3__seed43,polygarbor_p3,few50,43,complete,,runs/2026-09-12/few50__polygarbor_p3__seed43
few50__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few50,42,complete,,runs/2026-09-12/few50__polygarbor_p3_aug__seed42
few50__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few50,43,complete,,runs/2026-09-12/few50__polygarbor_p3_aug__seed43
few50__polygarbor_p5__seed42,polygarbor_p5,few50,42,complete,,runs/2026-09-12/few50__polygarbor_p5__seed42
few50__polygarbor_p5__seed43,polygarbor_p5,few50,43,complete,,runs/2026-09-12/few50__polygarbor_p5__seed43
few50__resnet18__seed42,resnet18,few50,42,complete,,runs/2026-09-12/few50__resnet18__seed42
few50__resnet18__seed43,resnet18,few50,43,complete,,runs/2026-09-12/few50__resnet18__seed43
few50__resnet18_imagenet__seed42,resnet18_imagenet,few50,42,complete,,runs/2026-09-12/few50__resnet18_imagenet__seed42
few50__resnet18_imagenet__seed43,resnet18_imagenet,few50,43,complete,,runs/2026-09-12/few50__resnet18_imagenet__seed43
few50__yolo11n__seed42,yolo11n,few50,42,complete,,runs/2026-09-12/few50__yolo11n__seed42
few50__yolo11n__seed43,yolo11n,few50,43,complete,,runs/2026-09-12/few50__yolo11n__seed43
few50__yolo11n_random__seed42,yolo11n_random,few50,42,complete,,runs/2026-09-12/few50__yolo11n_random__seed42
few50__yolo11n_random__seed43,yolo11n_random,few50,43,complete,,runs/2026-09-12/few50__yolo11n_random__seed43
few5__polygarbor__seed42,polygarbor,few5,42,complete,,runs/2026-09-12/few5__polygarbor__seed42
few5__polygarbor__seed43,polygarbor,few5,43,complete,,runs/2026-09-12/few5__polygarbor__seed43
few5__polygarbor_aug__seed42,polygarbor_aug,few5,42,complete,,runs/2026-09-12/few5__polygarbor_aug__seed42
few5__polygarbor_aug__seed43,polygarbor_aug,few5,43,complete,,runs/2026-09-12/few5__polygarbor_aug__seed43
few5__polygarbor_p3__seed42,polygarbor_p3,few5,42,complete,,runs/2026-09-12/few5__polygarbor_p3__seed42
few5__polygarbor_p3__seed43,polygarbor_p3,few5,43,complete,,runs/2026-09-12/few5__polygarbor_p3__seed43
few5__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few5,42,complete,,runs/2026-09-12/few5__polygarbor_p3_aug__seed42
few5__polygarbor_p3_aug__seed43,polygarbor_p3_aug,few5,43,complete,,runs/2026-09-12/few5__polygarbor_p3_aug__seed43
few5__polygarbor_p5__seed42,polygarbor_p5,few5,42,complete,,runs/2026-09-12/few5__polygarbor_p5__seed42
few5__polygarbor_p5__seed43,polygarbor_p5,few5,43,complete,,runs/2026-09-12/few5__polygarbor_p5__seed43
few5__resnet18__seed42,resnet18,few5,42,complete,,runs/2026-09-12/few5__resnet18__seed42
few5__resnet18__seed43,resnet18,few5,43,complete,,runs/2026-09-12/few5__resnet18__seed43
few5__resnet18_imagenet__seed42,resnet18_imagenet,few5,42,complete,,runs/2026-09-12/few5__resnet18_imagenet__seed42
few5__resnet18_imagenet__seed43,resnet18_imagenet,few5,43,complete,,runs/2026-09-12/few5__resnet18_imagenet__seed43
few5__yolo11n__seed42,yolo11n,few5,42,complete,,runs/2026-09-12/few5__yolo11n__seed42
few5__yolo11n__seed43,yolo11n,few5,43,complete,,runs/2026-09-12/few5__yolo11n__seed43
few5__yolo11n_random__seed42,yolo11n_random,few5,42,complete,,runs/2026-09-12/few5__yolo11n_random__seed42
few5__yolo11n_random__seed43,yolo11n_random,few5,43,complete,,runs/2026-09-12/few5__yolo11n_random__seed43
full__polygarbor__seed42,polygarbor,full,42,complete,,runs/2026-09-12/full__polygarbor__seed42
full__polygarbor__seed43,polygarbor,full,43,complete,,runs/2026-09-12/full__polygarbor__seed43
full__polygarbor_aug__seed42,polygarbor_aug,full,42,complete,,runs/2026-09-12/full__polygarbor_aug__seed42
