run,method,scenario,seed,status,error,path,stage,seconds,cpu_seconds,samples,cpu_core_percent_mean,cpu_core_percent_peak,rss_mb_mean,rss_mb_peak,gpu_global_percent_mean,gpu_global_percent_peak,gpu_process_mb_mean,gpu_process_mb_peak
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,read_data,0.015708905993960798,0.02000000000000013,0,,,,,,,,
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,build_model,0.000308853923343122,1.1102230246251565e-16,0,,,,,,,,
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,extract_features,4.252698034979403,4.259999999999999,21,100.22380952380952,104.6,394.7516099047619,394.756096,52.76190476190476,66.0,0.0,0.0
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,fit,0.11415936099365354,0.45000000000000095,0,,,,,,,,
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,save_model,0.005286285071633756,0.020000000000000795,0,,,,,,,,
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,warmup,0.06155611097346991,0.23999999999999966,1,327.5,327.5,400.642048,400.642048,27.0,27.0,0.0,0.0
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,evaluate_train,15.200239042984322,15.290000000000001,73,101.14520547945206,173.9,401.0643287671233,401.457152,41.43835616438356,71.0,0.0,0.0
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,prepare_val_clean,0.005367928999476135,0.010000000000000009,0,,,,,,,,
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,evaluate_val_clean,9.751897523063235,9.769999999999998,47,100.18936170212766,108.4,460.54892391489363,477.9008,38.5531914893617,74.0,0.0,0.0
few100__polygarbor__seed42,polygarbor,few100,42,complete,,runs/2026-09-12/few100__polygarbor__seed42,prepare_test_clean,0.005386853008531034,0.010000000000001452,0,,,,,,,,
