run,scenario,seed,split,rule,accuracy,macro_f1,multiclass_gmean,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
imbalance__polygarbor__seed42,imbalance,42,val,raw,0.502,0.39649140629547847,0.0,0.0222,0.1159,0.0,0.9841,1.0,0.0,0.9016,1.0
imbalance__polygarbor__seed42,imbalance,42,val,insample,0.52,0.4494341709015622,0.0,0.1778,0.3913,0.0435,0.9841,1.0,0.0,0.9344,0.6716
imbalance__polygarbor__seed42,imbalance,42,val,crossfit,0.666,0.6679683252723295,0.6424615580446185,0.7778,0.9275,0.5072,0.7302,0.4138,0.4706,0.9344,0.597
imbalance__polygarbor__seed42,imbalance,42,val,count,0.606,0.5629496556371251,0.43507775022230866,0.3778,0.4493,0.1159,0.9841,1.0,0.0735,0.9016,1.0
imbalance__polygarbor__seed42,imbalance,42,test,raw,0.504,0.4082199066385256,0.0,0.0149,0.1724,0.0,1.0,0.9853,0.0,1.0,0.9153
imbalance__polygarbor__seed42,imbalance,42,test,insample,0.51,0.4335898465863234,0.0,0.1045,0.3793,0.0147,1.0,0.9853,0.0,1.0,0.6441
imbalance__polygarbor__seed42,imbalance,42,test,crossfit,0.658,0.6527338606340796,0.6253931518684148,0.791,0.9483,0.4706,0.7619,0.4118,0.3667,1.0,0.5763
imbalance__polygarbor__seed42,imbalance,42,test,count,0.604,0.552079501617336,0.3787169140645688,0.4179,0.4655,0.0735,0.9841,0.9853,0.0333,1.0,0.9153
full__polygarbor__seed42,full,42,val,raw,0.826,0.8242945851760157,0.8193549925891173,0.8889,0.8551,0.5942,0.9365,0.931,0.5882,0.918,0.9552
full__polygarbor__seed42,full,42,val,insample,0.794,0.7945566190006759,0.79127850230301,0.8667,0.8696,0.6232,0.873,0.9138,0.5882,0.9344,0.7463
full__polygarbor__seed42,full,42,val,crossfit,0.788,0.7889545225299002,0.7842004626751986,0.8667,0.8986,0.6377,0.873,0.8793,0.5588,0.918,0.7313
full__polygarbor__seed42,full,42,val,count,0.826,0.8242945851760157,0.8193549925891173,0.8889,0.8551,0.5942,0.9365,0.931,0.5882,0.918,0.9552
full__polygarbor__seed42,full,42,test,raw,0.786,0.7802214916655392,0.7623790057575974,0.8657,0.8103,0.5147,0.9365,0.8676,0.45,1.0,0.8644
full__polygarbor__seed42,full,42,test,insample,0.786,0.7777422359079251,0.7627698541496729,0.8507,0.9138,0.5882,0.9524,0.8529,0.4333,1.0,0.7119
full__polygarbor__seed42,full,42,test,crossfit,0.78,0.7710801239318561,0.7556734463916619,0.8358,0.9483,0.6324,0.9524,0.8088,0.4167,1.0,0.661
full__polygarbor__seed42,full,42,test,count,0.786,0.7802214916655392,0.7623790057575974,0.8657,0.8103,0.5147,0.9365,0.8676,0.45,1.0,0.8644
full__polygarbor__seed43,full,43,val,raw,0.83,0.8268782053192653,0.8209745402141966,0.8889,0.8551,0.5072,0.9365,0.9483,0.6912,0.8852,0.9851
full__polygarbor__seed43,full,43,val,insample,0.806,0.8058942548384835,0.8028376822105713,0.8889,0.8986,0.6232,0.9048,0.931,0.5882,0.9016,0.7761
full__polygarbor__seed43,full,43,val,crossfit,0.798,0.7989777149008092,0.7949001285388081,0.8667,0.913,0.6667,0.873,0.8793,0.5735,0.9016,0.7612
full__polygarbor__seed43,full,43,val,count,0.83,0.8268782053192653,0.8209745402141966,0.8889,0.8551,0.5072,0.9365,0.9483,0.6912,0.8852,0.9851
full__polygarbor__seed43,full,43,test,raw,0.808,0.805394756854946,0.7923421495822015,0.8507,0.8448,0.4853,0.9365,0.8824,0.6,1.0,0.8983
full__polygarbor__seed43,full,43,test,insample,0.788,0.7820648405578575,0.7710597166463448,0.8358,0.8966,0.6324,0.9365,0.8382,0.4833,1.0,0.6949
full__polygarbor__seed43,full,43,test,crossfit,0.786,0.7796681708265646,0.7671115494374762,0.8358,0.931,0.6618,0.9206,0.8088,0.45,1.0,0.6949
full__polygarbor__seed43,full,43,test,count,0.808,0.805394756854946,0.7923421495822015,0.8507,0.8448,0.4853,0.9365,0.8824,0.6,1.0,0.8983
