method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error
gabor_svm,few1,42,1,0.019030968000151915,complete,1.0,scale,0.37021453084439204,0.3457241116483228,0.22861685227816989,0.38059313950688256,0.40724233983286906,0.9162929745889388,0.8819362455726092,0.504424778761062,0.5441640378548895,0.06570048309178744,0.28209459459459457,0.058029689608636977,0.0688836104513064,0.10381184103811841,,
svm_tuned,few1,42,1,0.08109031100048014,complete,0.1,0.0001,0.37021453084439204,0.3457241116483228,0.22861685227816989,0.38059313950688256,0.40724233983286906,0.9162929745889388,0.8819362455726092,0.504424778761062,0.5441640378548895,0.06570048309178744,0.28209459459459457,0.058029689608636977,0.0688836104513064,0.10381184103811841,0.37021453084439204,
nearest_centroid,few1,42,1,0.0031542449996777577,complete,,,0.37021453084439204,0.3457241116483228,0.22861685227816989,0.38059313950688256,0.40724233983286906,0.9162929745889388,0.8819362455726092,0.504424778761062,0.5441640378548895,0.06570048309178744,0.28209459459459457,0.058029689608636977,0.0688836104513064,0.10381184103811841,,
pmd_l3,few1,42,1,,undefined,,,,,,,,,,,,,,,,,,IndexError: tuple index out of range
gabor_svm,few2,42,2,0.0011426729997765506,complete,1.0,scale,0.3640978443611213,0.31536028768514024,0.20232378677121063,0.32551566878712657,0.33467966573816155,0.914050822122571,0.29161747343565525,0.4749262536873156,0.2807570977917981,0.08985507246376812,0.2989864864864865,0.01349527665317139,0.47268408551068886,0.09326845093268452,,
svm_tuned,few2,42,2,0.08516726699963328,complete,1000.0,0.001,0.4468629000259796,0.43136868413634993,0.32831127239242663,0.45404580757826146,0.4913649025069638,0.9364723467862481,0.9055489964580874,0.5162241887905604,0.6514195583596214,0.04927536231884058,0.18412162162162163,0.34143049932523617,0.1377672209026128,0.36415247364152475,0.4468629000259796,
nearest_centroid,few2,42,2,0.0010793209994517383,complete,,,0.3867595626311109,0.2627761462941214,0.16903744671281368,0.28892932884734146,0.3052924791086351,0.9020926756352765,0.024793388429752067,0.5132743362831859,0.5205047318611987,0.04830917874396135,0.21283783783783783,0.0931174089068826,0.16864608076009502,0.11678832116788321,,
pmd_l3,few2,42,2,0.009375442000418843,complete,,,0.19696482806360865,0.21314330283409,0.0,0.26764826646866374,0.24108635097493036,0.1375186846038864,0.9976387249114522,0.696165191740413,0.022082018927444796,0.2357487922705314,0.0,0.22941970310391363,0.09026128266033254,0.0,,
gabor_svm,few5,42,5,0.0014484210005321074,complete,1.0,scale,0.5126964187150724,0.3966041654175156,0.30015704572735885,0.42260012716471174,0.4565459610027855,0.9005979073243647,0.9716646989374262,0.584070796460177,0.3659305993690852,0.19516908212560385,0.10641891891891891,0.4534412955465587,0.07363420427553444,0.15247364152473641,,
svm_tuned,few5,42,5,0.1029473410007995,complete,10.0,0.01,0.5224546134122524,0.4414995535287969,0.31860392254416786,0.48348687267469753,0.5080779944289694,0.9050822122571002,0.9763872491145218,0.6460176991150443,0.5141955835962145,0.22608695652173913,0.07601351351351351,0.8178137651821862,0.0665083135391924,0.12327656123276562,0.5224546134122524,
nearest_centroid,few5,42,5,0.0010335750002923305,complete,,,0.4065831116782754,0.34836888955493744,0.26546574652587535,0.384573403741193,0.39401114206128135,0.8819133034379671,0.3105076741440378,0.6755162241887905,0.3753943217665615,0.12753623188405797,0.05574324324324324,0.7543859649122807,0.18527315914489312,0.0948905109489051,,
pmd_l3,few5,42,5,0.010749535999821092,complete,,,0.19715970725119095,0.14275906642354494,0.0,0.23216968541658833,0.19818941504178272,0.0014947683109118087,1.0,0.4306784660766962,0.06624605678233439,0.02608695652173913,0.36993243243243246,0.18083670715249664,0.014251781472684086,0.0,,
gabor_svm,few10,42,10,0.001578168000378355,complete,1.0,scale,0.5265976907571335,0.3969172237819171,0.3029930628324226,0.3951349280663311,0.45905292479108634,0.8871449925261584,0.9681227863046045,0.07374631268436578,0.3990536277602524,0.27246376811594203,0.1858108108108108,0.27530364372469635,0.23990498812351543,0.2546634225466342,,
svm_tuned,few10,42,10,0.12861549700028263,complete,1000.0,0.001,0.6071889667200352,0.47311939804078285,0.40390760794305336,0.5037562391461714,0.5093314763231198,0.7683109118086696,0.9244391971664699,0.45722713864306785,0.8675078864353313,0.20772946859903382,0.11486486486486487,0.6518218623481782,0.36104513064133015,0.18085969180859693,0.6071889667200352,
nearest_centroid,few10,42,10,0.0010988690000885981,complete,,,0.46076043222821184,0.4219400338040502,0.34169597781069766,0.4603670433231819,0.4681058495821727,0.9020926756352765,0.8559622195985832,0.6371681415929203,0.5930599369085173,0.13526570048309178,0.10810810810810811,0.5276653171390013,0.2850356294536817,0.0989456609894566,,
pmd_l3,few10,42,10,0.012443151000297803,complete,,,0.2895095957322263,0.21365056764750345,0.0,0.32255981237259035,0.2637883008356546,0.0,1.0,0.6194690265486725,0.14037854889589904,0.011594202898550725,0.6452702702702703,0.291497975708502,0.12589073634204276,0.0689375506893755,,
