method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error,epochs
gabor_svm,few1,42,1.0,0.0190309680001519,complete,1.0,scale,0.370214530844392,0.3457241116483228,0.2286168522781698,0.3805931395068825,0.407242339832869,0.9162929745889388,0.8819362455726092,0.504424778761062,0.5441640378548895,0.0657004830917874,0.2820945945945945,0.0580296896086369,0.0688836104513064,0.1038118410381184,,,
svm_tuned,few1,42,1.0,0.0810903110004801,complete,0.1,0.0001,0.370214530844392,0.3457241116483228,0.2286168522781698,0.3805931395068825,0.407242339832869,0.9162929745889388,0.8819362455726092,0.504424778761062,0.5441640378548895,0.0657004830917874,0.2820945945945945,0.0580296896086369,0.0688836104513064,0.1038118410381184,0.370214530844392,,
nearest_centroid,few1,42,1.0,0.0031542449996777,complete,,,0.370214530844392,0.3457241116483228,0.2286168522781698,0.3805931395068825,0.407242339832869,0.9162929745889388,0.8819362455726092,0.504424778761062,0.5441640378548895,0.0657004830917874,0.2820945945945945,0.0580296896086369,0.0688836104513064,0.1038118410381184,,,
gabor_svm,few2,42,2.0,0.0011426729997765,complete,1.0,scale,0.3640978443611213,0.3153602876851402,0.2023237867712106,0.3255156687871265,0.3346796657381615,0.914050822122571,0.2916174734356552,0.4749262536873156,0.2807570977917981,0.0898550724637681,0.2989864864864865,0.0134952766531713,0.4726840855106888,0.0932684509326845,,,
svm_tuned,few2,42,2.0,0.0851672669996332,complete,1000.0,0.001,0.4468629000259796,0.4313686841363499,0.3283112723924266,0.4540458075782614,0.4913649025069638,0.936472346786248,0.9055489964580874,0.5162241887905604,0.6514195583596214,0.0492753623188405,0.1841216216216216,0.3414304993252361,0.1377672209026128,0.3641524736415247,0.4468629000259796,,
nearest_centroid,few2,42,2.0,0.0010793209994517,complete,,,0.3867595626311109,0.2627761462941214,0.1690374467128136,0.2889293288473414,0.3052924791086351,0.9020926756352764,0.024793388429752,0.5132743362831859,0.5205047318611987,0.0483091787439613,0.2128378378378378,0.0931174089068826,0.168646080760095,0.1167883211678832,,,
pmd_l3,few2,42,2.0,0.0093754420004188,complete,,,0.1969648280636086,0.21314330283409,0.0,0.2676482664686637,0.2410863509749303,0.1375186846038864,0.9976387249114522,0.696165191740413,0.0220820189274447,0.2357487922705314,0.0,0.2294197031039136,0.0902612826603325,0.0,,,
gabor_svm,few5,42,5.0,0.0014484210005321,complete,1.0,scale,0.5126964187150724,0.3966041654175156,0.3001570457273588,0.4226001271647117,0.4565459610027855,0.9005979073243647,0.9716646989374262,0.584070796460177,0.3659305993690852,0.1951690821256038,0.1064189189189189,0.4534412955465587,0.0736342042755344,0.1524736415247364,,,
svm_tuned,few5,42,5.0,0.1029473410007995,complete,10.0,0.01,0.5224546134122524,0.4414995535287969,0.3186039225441678,0.4834868726746975,0.5080779944289694,0.9050822122571002,0.9763872491145218,0.6460176991150443,0.5141955835962145,0.2260869565217391,0.0760135135135135,0.8178137651821862,0.0665083135391924,0.1232765612327656,0.5224546134122524,,
nearest_centroid,few5,42,5.0,0.0010335750002923,complete,,,0.4065831116782754,0.3483688895549374,0.2654657465258753,0.384573403741193,0.3940111420612813,0.8819133034379671,0.3105076741440378,0.6755162241887905,0.3753943217665615,0.1275362318840579,0.0557432432432432,0.7543859649122807,0.1852731591448931,0.0948905109489051,,,
