images_per_class,other,seeds,svm_minus_other_mean,minimum,maximum,seeds_svm_better
1,svm_tuned,5,0.0,0.0,0.0,0
1,nearest_centroid,5,0.0,0.0,0.0,0
1,yolo11n_random,5,0.28080297621770933,0.20337094789349397,0.3222754730258957,5
1,yolo11n,5,-0.11567615937843052,-0.23014496059734302,-0.01526972630767337,0
2,svm_tuned,5,-0.048349131856309596,-0.1160083964512097,0.012538999724383992,1
2,nearest_centroid,5,0.015330593635751389,-0.05804435465909785,0.07413470177970011,3
2,pmd_l3,5,0.13556205559246254,0.055648596276390905,0.21082553839961563,5
2,yolo11n_random,5,0.28927529805105356,0.19705430336068366,0.3955048328135883,5
2,yolo11n,5,-0.1933614302372241,-0.2412990891869468,-0.10900141262894175,0
5,svm_tuned,5,-0.03816971894306938,-0.059651798261019906,-0.014406961300538701,0
5,nearest_centroid,5,0.017931800321575465,-0.004228673364302216,0.0482352758625782,4
5,pmd_l3,5,0.23450206401911772,0.20363147788042202,0.2678873875744414,5
5,yolo11n_random,5,0.3868752098252576,0.334242553443122,0.42715985325765093,5
5,yolo11n,5,-0.1827886489208244,-0.22155719554946418,-0.12855663462638656,0
10,svm_tuned,5,-0.07949203633670765,-0.15570125087440234,-0.029352711104415508,0
10,nearest_centroid,5,0.00964244332672486,-0.02861566853519415,0.04893559228879796,3
10,pmd_l3,5,0.25914228406035533,0.18326665613441367,0.3472628372714239,5
10,yolo11n_random,5,0.2595535310632523,-0.03169151943768961,0.47066099698202696,3
10,yolo11n,5,-0.24913777059404527,-0.30301217196134733,-0.2109005997980653,0
20,svm_tuned,5,-0.11472668791379755,-0.2263948114953918,-0.05291496158150211,0
20,nearest_centroid,5,0.045543656507455524,0.015265820588489298,0.08775745012479547,5
20,pmd_l3,5,0.26579830118550435,0.16688014568358273,0.4085603186396331,5
20,yolo11n_random,5,0.0749824383252968,-0.07179065944863866,0.16805626620042668,4
20,yolo11n,5,-0.27067829709316743,-0.31644514317880973,-0.23180130404556665,0
