seed,a,b,macro_f1_b_minus_a,source_bootstrap_ci_low,source_bootstrap_ci_high,folds_a_better,folds_b_better
42,polygarbor,gabor_svm,0.16334725516817983,-0.015417383827939127,0.2209120808087753,3,7
42,resnet18,gabor_svm,-0.029546969867011774,-0.0839672957793294,0.014646183126707329,8,2
42,resnet18_imagenet,gabor_svm,-0.07696300902752207,-0.117252320930965,-0.03324791033131527,9,1
42,yolo11n_random,gabor_svm,-0.023038315217122407,-0.060698920482916495,0.014475802140513453,7,3
42,yolo11n,gabor_svm,-0.0674374776479797,-0.13076384046044398,-0.02355600706357168,9,1
43,polygarbor,gabor_svm,0.15952998438617527,-0.020825444924061645,0.22096298826431005,3,7
43,resnet18,gabor_svm,0.06001173122292358,-0.1058826860288742,0.10952556605116084,9,1
43,resnet18_imagenet,gabor_svm,-0.0912827988721967,-0.13311739025621883,-0.06080758142261171,10,0
43,yolo11n_random,gabor_svm,-0.052816061521104296,-0.08266399315457808,-0.017105074513537422,8,2
43,yolo11n,gabor_svm,-0.08049121802801662,-0.13675143891210484,-0.03506043304419304,9,1
