method,seed,tumor,stroma,complex,lympho,debris,mucosa,adipose,empty
gabor_svm,42,0.736,0.6128,0.6928,0.56,0.4608,0.84,0.952,0.9552
gabor_svm,43,0.696,0.6,0.7008,0.5696,0.3808,0.84,0.9536,0.9552
polygarbor,42,0.8256,0.6928,0.4592,0.6128,0.7216,0.4576,0.92,0.0576
polygarbor,43,0.7904,0.6944,0.4432,0.6256,0.7152,0.4288,0.9312,0.0448
resnet18,42,0.848,0.5968,0.7424,0.872,0.3808,0.9264,0.9456,0.7296
resnet18,43,0.9072,0.5648,0.76,0.84,0.44,0.9216,0.9504,0.056
resnet18_imagenet,42,0.9328,0.5472,0.7344,0.8336,0.5168,0.9664,0.9536,0.9152
resnet18_imagenet,43,0.9088,0.5536,0.784,0.8464,0.504,0.9616,0.9552,0.8848
yolo11n,42,0.9424,0.6096,0.6912,0.832,0.5536,0.9536,0.9568,0.7712
yolo11n,43,0.9264,0.5728,0.6704,0.8816,0.5264,0.9456,0.96,0.8272
yolo11n_random,42,0.9008,0.5872,0.6576,0.7712,0.3456,0.88,0.9472,0.8992
yolo11n_random,43,0.912,0.5984,0.704,0.8624,0.3312,0.8848,0.8816,0.9216
